name,restaurant_name,identifier,calories,price_usd
MISO SOUP - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,1.99
SPRING ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,1.49
SOYBEAN POD - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,2.29
FRIED CALAMARI - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
DUMPLINGS (6 PCS.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
TEMPURA VEGETABLE - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
TEMPURA SHRIMP (4 PCS.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
TEMPURA CHICKEN (4 PCS.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
FRIED OYSTERS (4 PCS.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CRAB RANGOON (3 PCS.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
STEAK SALAD - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.29
JUMBO SHRIMP SALAD (5PCS) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,6.99
CHICKEN SALAD - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
SEAWEED SALAD - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,3.99
HOUSE SALAD - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,1.99
PHILADELPHIA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
SHRIMP TEMPURA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
TUNA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
SALMON ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CRAB ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CUCUMBER ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
EEL ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,4.99
SPICY TUNA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CALIFORNIA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CHICKEN TEMPURA ROLL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,5.99
CHICKEN RICE BOWL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,6.99
JUMBO SHRIMP RICE BOWL 5PCS - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,6.99
EEL RICE BOWL - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,8.99
STEAK RICE BOWL (6 OZ.) - REGULAR,PROZ END OF THE LINE  SPORTS BAR & GRILLE,"CHOWNOW, DEVILS LAKE, ND",,9.99
