name,restaurant_name,identifier,calories,price_usd
CHICKEN TENDERS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,11.00
FRIED GREEN TOMATOES - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,8.00
STEAK BITES - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,10.00
PORK BELLY MAC AND CHEESE BITES - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,9.00
CHEESE CURDS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,9.00
POUTINE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,10.00
BEER CHEESE SAUCE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,5.00
WINGS- 10 PIECE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
WINGS- 6 PIECE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,9.00
PICKLE SPEARS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,9.00
CHILI - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,6.00
GREEK CUCUMBER SALAD - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,9.00
ASIAN SALAD - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
COBB SALAD - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
WEDGE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,7.00
STRAWBERRY SPINACH SALAD - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,10.00
SALMON CAESAR SALAD - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
NEW ORLEANS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,14.00
MILWAUKEE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,11.00
OMAHA - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
DENVER - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
FARMINGTON - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
LUBBOCK - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
SANTE FE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
LOUISVILLE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
KONA - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
MIAMI - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
CASPER - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
BOULDER - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,11.00
YELLOWSTONE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,14.00
SEOUL - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
CODY - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,16.00
FORTH WORTH - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,14.00
LA - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
ATLANTA - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
CABO - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
NASHVILLE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
CAPRI - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
FRENCH DIP - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,12.00
PHILLY - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
ANCHORAGE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,13.00
FAIRBANKS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,17.00
BLACKENED CHICKEN ALFREDO - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,17.00
CHICKEN FRIED STEAK - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,16.00
HONEY GLAZED CHICKEN - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,14.00
NEW YORK STRIP - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,25.00
SHRIMP SCAMPI LINGUINE - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,17.00
SIRLOIN - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,15.00
ENTREE PORK BELLY MAC - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,15.00
HONEY GLAZED SALMON - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,20.00
BURGER SLIDERS - REGULAR,PUERTO VALLARTA,"CHOWNOW, STEUBENVILLE, OH",,6.00
