name,restaurant_name,identifier,calories,price_usd
CHICKEN NOODLE SOUP - SMALL,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,4.75
CHINESE CHICKEN SALAD - SMALL,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.75
CHINESE CHICKEN SALAD - LARGE,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
MIXED GREEN SALAD - SMALL,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,4.75
MIXED GREEN SALAD - LARGE,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.30
TERI CHICKEN BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.30
TERI BEEF BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.25
TERI COMBO BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
TERI CHICKEN PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
TERI BEEF PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.50
TERI COMBO PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.95
TERI CHICKEN DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.75
TERI BEEF DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,10.50
TERI COMBO DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,10.95
TERI CHICKEN BOWL W/ BROCCOLI - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
TERI BEEF BOWL W/ BROCCOLI - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.50
TERI COMBO BOWL W/ BROCCOLI - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.95
CHICKEN GRAVY BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.30
CHICKEN GRAVY PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
CHICKEN GRAVY DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.75
VEGGIE CURRY BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.95
CHICKEN CURRY BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.30
BEEF CURRY BOWL - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.25
VEGGIE CURRY PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.50
CHICKEN CURRY PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
BEEF CURRY PLATE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.50
VEGGIE CURRY DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.50
CHICKEN CURRY DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,9.75
BEEF CURRY DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,10.50
BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,5.25
CHEESEBURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,5.55
CHICKEN BREAST BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.60
CHILI BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,5.95
TERIYAKI AVOCADO BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.25
TERIYAKI BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,5.25
TERIYAKI CHICKEN BREAST BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.60
TERIYAKI STEAK BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.60
VEGGIE BURGER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,6.75
CHILI & RICE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,4.95
CHILI DOG - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,5.85
CHILI FRIES - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,3.95
FRENCH FRIES - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,2.60
HOT DOG - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,4.95
AVOCADO & CHEESE SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.95
TUNA SALAD SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.25
CHICKEN SALAD SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.95
CHARBROILED CHICKEN SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.95
PASTRAMI & CHEESE SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.25
TERIYAKI SANDWICH - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,7.95
COMBO 1 - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
COMBO 2 - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
COMBO 3 - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,8.75
FAMILY PAK | TERIYAKI DINNER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,25.00
FAMILY PAK | TERIYAKI DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,27.00
FAMILY PAK | TERIYAKI COMBO DELUXE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,30.00
BROWN RICE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,3.35
CHIPS - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,1.10
COLE SLAW - SMALL,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,1.40
COLE SLAW - LARGE,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,2.80
ROLL & BUTTER - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,1.45
WHITE RICE - REGULAR,RASCALS TERIYAKI GRILL,"TORRANCE, CA",,2.95
