name,restaurant_name,identifier,calories,price_usd
RICEBALL - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,4.99
EGGPLANT ROLLATINE FOR TWO - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
MOZZARELLA STICKS - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,7.99
FRIED ZUCCHINI - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,7.99
CALAMARI FRITTI - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
ITALIAN CHICKEN QUESADILLA - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
BROCCOLI RABE - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
WINGS - 1/2 DOZEN,REAL FOOD DAILY,"PASADENA, CA",,5.99
WINGS - 1 DOZEN,REAL FOOD DAILY,"PASADENA, CA",,8.99
BUFFALO FRIED CALAMARI - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,10.99
BAKED CLAMS OREGANATA - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
FRIED RAVIOLI - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
MUSSELS MARINARA - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,9.99
PASTA E FAGIOLI - LARGE,REAL FOOD DAILY,"PASADENA, CA",,6.99
PASTA E FAGIOLI - SMALL,REAL FOOD DAILY,"PASADENA, CA",,4.99
STRACCIATELLA - LARGE,REAL FOOD DAILY,"PASADENA, CA",,6.99
STRACCIATELLA - SMALL,REAL FOOD DAILY,"PASADENA, CA",,4.99
MINESTRONE - LARGE,REAL FOOD DAILY,"PASADENA, CA",,6.99
MINESTRONE - SMALL,REAL FOOD DAILY,"PASADENA, CA",,4.99
TORTELLINI IN BRODO - LARGE,REAL FOOD DAILY,"PASADENA, CA",,6.99
TORTELLINI IN BRODO - SMALL,REAL FOOD DAILY,"PASADENA, CA",,4.99
CHICKEN NOODLE SOUP - LARGE,REAL FOOD DAILY,"PASADENA, CA",,6.99
CHICKEN NOODLE SOUP - SMALL,REAL FOOD DAILY,"PASADENA, CA",,4.99
HOUSE SALAD - SMALL,REAL FOOD DAILY,"PASADENA, CA",,5.99
HOUSE SALAD - LARGE,REAL FOOD DAILY,"PASADENA, CA",,7.99
GREEK SALAD - SMALL,REAL FOOD DAILY,"PASADENA, CA",,5.99
GREEK SALAD - LARGE,REAL FOOD DAILY,"PASADENA, CA",,7.99
BABY ARUGULA SALAD - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,9.99
INSALATA CAPRESE - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
BUFFALO FRIED CHICKEN SALAD - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,9.99
GINGER CALAMARI SALAD - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,9.99
CHEF SALAD - SMALL,REAL FOOD DAILY,"PASADENA, CA",,5.99
CHEF SALAD - LARGE,REAL FOOD DAILY,"PASADENA, CA",,7.99
CAESAR SALAD - SMALL,REAL FOOD DAILY,"PASADENA, CA",,5.99
CAESAR SALAD - LARGE,REAL FOOD DAILY,"PASADENA, CA",,7.99
BABY SPINACH SALAD - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
BLT SALAD - SMALL,REAL FOOD DAILY,"PASADENA, CA",,5.99
BLT SALAD - LARGE,REAL FOOD DAILY,"PASADENA, CA",,7.99
INSALATA CAMPAGNA - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
GRILLED CHICKEN - REGULAR,REAL FOOD DAILY,"PASADENA, CA",,8.99
