name,restaurant_name,identifier,calories,price_usd
BUILD YOUR BOWL | REGULAR - REGULAR (2 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
BUILD YOUR BOWL | LARGE - LARGE (3 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,15.00
NO PROTEIN BOWL - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,9.50
NO PROTEIN BOWL - LARGE,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,11.50
BYO COOLINARY SPECIAL - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,18.00
COOLINARY SPECIAL - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,18.00
TUNA POKE BOWL - REGULAR (2 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
TUNA POKE BOWL - LARGE (3 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,15.00
SALMON POKE BOWL - REGULAR (2 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
SALMON POKE BOWL - LARGE (3 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,15.00
TERIYAKI CHICKEN BOWL - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
TERIYAKI CHICKEN BOWL - LARGE,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,15.00
KING LOA BOWL - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,17.00
VEGGIE BOWL - REGULAR (2 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
VEGGIE BOWL - LARGE (3 SCOOPS),RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,15.00
CRAB SALAD - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,5.00
JAPANESE SEAWEED SALAD - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,5.00
MARINATED CUCUMBERS - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,4.00
SIDE TRIO - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,13.00
KIMCHI - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,4.00
SQUID SALAD - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,5.00
SHRIMP AVOCADO SALAD - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,5.00
SODA - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,1.75
SODA - LARGE,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.50
BAI - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,3.50
PELLEGRINO DRINKS - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.50
TOPO CHICO - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
LIME TOPO CHICO - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
BARQ'S GLASS BOTTLE - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
SMART WATER - 500ML,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,3.00
VOSS WATER - 500ML,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,3.50
BIG EASY BUCHA - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,5.00
SALTED CARAMEL COOKIE - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
CHOCOLATE CHUNK COOKIE - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
GLUTEN FREE BROWNIE - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
LEMON BLUEBERRY COOKIE - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,2.75
MISO SOUP - REGULAR,RECKLESS NOODLE HOUSE,"CHOWNOW, SEATTLE, WA",,3.25
