name,restaurant_name,identifier,calories,price_usd
MINI - CHIMI'S - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
MEXICAN CHORIZO QUESO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.50
QUESO FUNDIDO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,11.00
MONARCA'S DIP - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
JALAPENO BACON WRAPPED SHRIMP - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
LATIN EMPANADAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
MONARCA'S BEAN DIP - SMALL,RECOVERY ROOM,"NEW LONDON, CT",,4.00
MONARCA'S BEAN DIP - LARGE,RECOVERY ROOM,"NEW LONDON, CT",,7.50
CHEESE DIP - SMALL,RECOVERY ROOM,"NEW LONDON, CT",,4.00
CHEESE DIP - LARGE,RECOVERY ROOM,"NEW LONDON, CT",,7.50
FRESH GUACAMOLE - SMALL,RECOVERY ROOM,"NEW LONDON, CT",,4.00
FRESH GUACAMOLE - LARGE,RECOVERY ROOM,"NEW LONDON, CT",,7.50
PICO DE GALLO - SMALL,RECOVERY ROOM,"NEW LONDON, CT",,4.00
PICO DE GALLO - LARGE,RECOVERY ROOM,"NEW LONDON, CT",,7.50
MEIXICAN CHICKEN WINGS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.50
NACHOS MONARCA'S - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
NACHO'S DEL MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
SUPER TACO SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,11.00
FAJITA TACO SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
GRILLED CHICKEN SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
SALMON MANGO SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.50
JALISCO SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
PRIMAVERA SALAD - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
SOPA DE TORTILLA - CUP,RECOVERY ROOM,"NEW LONDON, CT",,5.00
SOPA DE TORTILLA - BOWL,RECOVERY ROOM,"NEW LONDON, CT",,10.00
BEEF SOUP - CUP,RECOVERY ROOM,"NEW LONDON, CT",,5.00
BEEF SOUP - BOWL,RECOVERY ROOM,"NEW LONDON, CT",,10.00
SEAFOOD SOUP - CUP,RECOVERY ROOM,"NEW LONDON, CT",,8.00
SEAFOOD SOUP - BOWL,RECOVERY ROOM,"NEW LONDON, CT",,18.00
7 MARES - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,24.00
CARNE ASADA TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
POLLO ASADO TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
CHORIZO TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
CARNITAS TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
TRIO TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
BARBACOA TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
CAMPECHANOS TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
AL PASTOR TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
MONARCA'S TACOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
TEXAS TACOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
CRISPY TACOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
TACOS SUAVES - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
ENSENADA TACOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
TACOS DEL MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
GRILLED CHICKEN FAJITA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,18.00
GRILLED SHRIMP FAJITA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,23.00
CARNE ASADA FAJITA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,22.00
FAJITA TRIO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,23.00
FAJITAS DEL MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,24.00
MEGA FAJITAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,30.00
MONARCA'S PARRILLADA FAJITA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,50.00
HAWAIIAN FAJITAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,25.00
BURRITO PANZON - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
CHARLY BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
MEGA BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,18.50
BURRITO DEL MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.00
BEAN & RICE BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
POLLO CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
GRILLED CHICKEN CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
GROUND BEEF CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
CARNITAS CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
SHREDDED BEEF CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
AL PASTOR CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
STEAK CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,16.00
CAMARON CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,17.50
BBQ BEEF CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,16.00
MONARCA'S SUPREMA QUESADILLAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.00
QUESADILLA DE MONARCA'S - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
QUESADILLA MICHOACANA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,17.00
QUESADILLA AL PASTOR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.50
ENCHILADAS DE MONARCAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
ENCHILADAS VERDES - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
ENMOLADAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
ENCHILADAS TRIO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
ENCHILADAS DEL MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,17.00
MONARCA'S BURGER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
MEXICAN BURGER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
HAWAIIAN BURGERS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,9.00
BBQ ULTIMATE BURGER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.00
VEGGIE FAJITA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
QUESADILLA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,11.00
CHILI RELLENO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,11.00
VEGGIE TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,11.00
VEGGIE ENCHILADAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
VEGGIE BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,13.00
BEANS & RICE BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,10.00
MARISCADA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,60.00
CAMARONES A LA DIABLA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,60.00
CAMARONES AL MOJO DE AJO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.00
FILETE VERACRUZ - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,20.00
PESCADO SARANDEANDO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,20.00
PARGO FRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,22.00
MONARCA'S SHRIMP AZTEC COCKTAIL - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,24.00
TEQUILA SHRIMP - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,24.00
KING SEAFOOD COCOKTAIL - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,28.00
FISH CEVICHE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,14.00
SHRIMP CEVICHE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,16.00
JUAREZ CEVICHE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,20.00
MOLCAJETE MONARCA'S - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,29.00
MOLCAJETE DE MAR - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,35.00
RIB EYE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,25.00
RIB EYE RANCHERO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,28.00
RIB EYE AL CHIPOTLE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,28.00
CARNE ASADA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,20.00
POLLO CON RAJAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,16.00
POLLO CAMPERO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,16.00
MOLE POBLANO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,17.00
CARNITAS URUAOAN STYLE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.00
HUARACHE MICHOACANO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,12.00
MONARCA'S RIBS - HALF,RECOVERY ROOM,"NEW LONDON, CT",,14.00
MONARCA'S RIBS - FULL,RECOVERY ROOM,"NEW LONDON, CT",,26.00
SOPES MCHOACANOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
MONARCA'S PLATTERS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,22.00
TAMALE PLATE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
MONARCA'S BEEF BARBACOA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,19.00
FLAUTAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
CHILE RELLENO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,15.00
CHIMICHANGA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
HAMBURGER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
CHEESEBURGER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
CHICKEN TENDER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
CHEESE QUESADILLA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
GRILLED CHEESE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
CHICKEN BURRITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
FAJITAS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
HARD OR SOFT TACO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
MAC & CHEESE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
HOMEMADE FLAN - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
FRIED ICE CREAM - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
CUATRO LECHES CAKE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,7.00
XANGOS MONARCA'S - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.00
7 LAYER CHOCOLATE CAKE WITH ICE CREAM - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.00
CHURROS WITH ICE CREAM - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
SOPAPILLA WITH HONEY & ICE CREAM - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,6.00
KEY LIME - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.00
CHEESE CAKE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,8.00
FOUNTAIN DRINKS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.75
JUICES - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.75
WATER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.75
SPARKLING WATER - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.75
JARRITOS - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.75
AGUAS FRESCAS - GLASS,RECOVERY ROOM,"NEW LONDON, CT",,4.00
AGUAS FRESCAS - PITCHER,RECOVERY ROOM,"NEW LONDON, CT",,11.00
ESPRESSO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.95
CORTADITO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
CAPPUCCINO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
LATTE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
MOCHA - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
AMERICANO - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,2.50
HOT CHOCOLATE - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
ENERGY DRINK - REGULAR,RECOVERY ROOM,"NEW LONDON, CT",,3.95
