name,restaurant_name,identifier,calories,price_usd
SPICY TANGERINE CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
LEMON CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SESAME CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
FLOWER CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SWEET & SOUR CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SPICY SCALLION CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SPICY THAI BASIL CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SPICY THAI RED CURRY CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
CHICKEN WITH BROCCOLI - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
ROASTED CASHEW NUT CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
GENERAL TSO'S CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
SPICY THAI GREEN CURRY CHICKEN - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.25
BEEF WITH BROCCOLI - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.50
BELL PEPPER STEAK - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.50
MONGOLIAN BEEF - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.50
SPICY TANGERINE BEEF - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.50
PORK WITH HOT GARLIC SAUCE - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.50
SHRIMP OR SCALLOP WITH HOT GARLIC SAUCE - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.75
SHRIMP WITH BROCCOLI - REGULAR,RED BOWL,"CHOWNOW, MATTHEWS, NC",,8.75
