name,restaurant_name,identifier,calories,price_usd
MENUDO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,5.57
TACORAZON GIFT - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,10.00
CHINAMPA 6 PACK - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,8.00
CHINAMPA CURE PACK - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,29.00
CHINAMPA SURVIVAL KIT - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,37.95
CHINAMPA WAKE UP CALL - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,30.00
CHINAMPA CAKE - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,50.00
BURRITO COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,4.25
HUEVOS RANCHEROS COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,5.75
CHILAQUILES MONTADOS COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,7.75
ENCHILADAS COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,10.70
CHILE RELLENO COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,10.70
MEXICAN PLATTER COMBO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,13.45
CAMPANA TACO PACK - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,7.50
A LA MEXICANA POTATO & SCRAMBLED EGGS - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
BACON & SCRAMBLED EGGS BURRITO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
CHORIZO & SCRAMBLED EGGS BURRITO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
"CHORIZO, POTATO & SCRAMBLED EGGS BURRITO - REGULAR",RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
HAM & SCRAMBLED EGGS BURRITO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
POTATO & SCRAMBLED EGGS BURRITO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
SAUSAGE & SCRAMBLED EGGS BURRITO - REGULAR,RENALDO'S CULINARY EXPERIENCE,"CHOWNOW, CHARLOTTE, NC",,2.75
