name,restaurant_name,identifier,calories,price_usd
COCONUT SHRIMP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
CABO FISH BITES - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,9.00
CALAMARI - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,17.00
KICKIN CHICKEN - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,10.00
KICKIN SHRIMP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
RIVERHOUSE SPRING ROLLS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,8.00
CRAB DIP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,17.00
ARTICHOKE SPINACH DIP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,10.00
RIVERHOUSE WINGS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,15.25
RIVERHOUSE SALAD - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,8.00
ISLAND TIME SALAD - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,10.00
HOUSE CAESAR SALAD - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,9.00
TOMATO BASIL SOUP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
LOBSTER CORN CHOWDER - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,8.75
GROUPER SANDWICH - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,20.00
COASTAL FISH SANDWICH - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,14.00
AVOCADO CHICKEN SANDWICH - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
TURKEY BERRY CLASSIC - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,15.25
TAMPA BAY CRAB CAKE SANDWICH - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,19.00
SHRIMP PO BOY - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,19.00
CHICKEN SMOKEHOUSE SANDWICH - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
THE CLASSIC BURGER - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,14.00
BEYOND BURGER (PLANT BASED) - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,16.50
ANGUS BEEF SLIDERS 3 - DINNER ENTREE,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
FISH TACOS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,14.00
GROUPER TACOS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,20.00
KICKIN SHRIMP TACOS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,14.00
KICKIN CHICKEN TACOS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,13.00
TERIYAKI SALMON FISH BOWL - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,15.00
JAMBALAYA BOWL - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,14.00
VEGGIE BOWL - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,11.00
ISLAND RIBS - 1/2 SLAB,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,20.00
FISH AND CHIPS - LUNCH PORTION,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,12.00
FISH AND CHIPS - DINNER PORTION,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,15.00
SOUTHERN FRIED SHRIMP - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,20.00
TAMPA BAY CRAB CAKES - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,27.00
KID'S BURGER - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
KID'S CHICKEN FINGERS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
KID'S GRILLED CHEESE - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
FRENCH FRIES LARGE SIDE - BASKET,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
SWEET POTATO FRIES LARGE SIDE - BASKET,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,8.00
RIVERHOUSE CHIPS LARGE SIDE - BASKET,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,6.00
SIDE OF CAULIFLOWER - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
SIDE OF BLACK BEANS & RICE - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
SIDE OF COLESLAW - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
GARLIC MASHED POTATOES - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
STEAMED BROCCOLI - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
SIDE OF GREEN BEANS - REGULAR,RIVERHOUSE REEF & GRILL,"PALMETTO, FL",,3.00
