name,restaurant_name,identifier,calories,price_usd
THAI DUMPLINGS - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,5.00
TOM YUM GAI - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,4.00
TOM KHA GAI - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,5.00
DRUNKEN NOODLES - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
PAD SIEW - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
PAD THAI - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
THAI FRIED RICE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
THAI CHOWMEIN - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
CASHEW NUT & VEGGIES - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
PAD PRIG PAO - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
SPICY BASIL - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
SWEET AND SOUR - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
SPICY EGGPLANT - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,9.00
PANANG CURRY - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,10.00
RED CURRY - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,10.00
GREEN CURRY - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,10.00
YELLOW CURRY - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,10.00
MUSSAMUN CURRY - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,10.00
SIDE BROWN RICE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
SIDE WHITE RICE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,1.00
SIDE RICE NOODLES - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,1.00
COCONUT ICE CREAM - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,4.00
CHINA MIST ICED TEA - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
THAI ICED TEA - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,3.00
THAI ICED COFFEE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,3.00
COKE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
DASANI - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,1.00
DIET COKE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
DR. PEPPER - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
FANTA - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
FIJI WATER - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
LEMONADE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
POWERADE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
ROOT BEER - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
SPRITE - REGULAR,ROLLINGCHEFS LLC,"CHOWNOW, HARTWELL, GA",,2.00
