name,restaurant_name,identifier,calories,price_usd
1. CRISPY SPRING ROLLS - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.50
2. CRISPY TOFU - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.50
3. CHICKEN SATAY - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,6.95
5. FRIED CALAMARI - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,7.25
6. STEAMED DUMPLING - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.95
7. SHRIMPS IN A BLANKET - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,7.95
8. FAMOUS THAI SAMPLER - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,10.95
9. CRISPY THAI CHICKEN WINGS - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,6.95
10. GRILLED LAO SAUSAGE - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,7.95
11. LAO STYLE BEEF JERKY - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,6.95
17. TOM YUM | CHICKEN - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.50
17. TOM YUM | CHICKEN - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,9.95
17. TOM YUM | SEAFOOD COMBO - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,6.50
17. TOM YUM | SEAFOOD COMBO - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,12.95
17. TOM YUM | SHRIMP - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,6.50
17. TOM YUM | SHRIMP - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,12.95
18. VEGETABLE TOM YUM - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,4.50
18. VEGETABLE TOM YUM - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,8.95
19. TOM KHA KAI - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.50
19. TOM KHA KAI - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,9.95
20. WONTON SOUP - SMALL,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,5.50
20. WONTON SOUP - LARGE,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,9.95
12. MIXED GREEN SALAD - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,4.95
13. SPICY BEEF SALAD - REGULAR,SAAP LAO THAI CUISINE,"NEW CASTLE, DE",,8.95
