name,restaurant_name,identifier,calories,price_usd
APOLLO FISH - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
CHICKEN SUKKA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
CUT MIRCHI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
GOAT SUKKA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
ONION PAKORA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
PANEER 65 - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.99
SAMOSA (2 PIECES) - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,3.99
CHICKEN 65 - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
GOAT  65 - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
ANDHRA  PANEER - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.99
CHILLI BABYCORN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
PEPPER CHICKEN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
PEPPER GOAT - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
PEPPER  SHRIMP - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
PEPPER FISH - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
GINGER  PANNER - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.99
GINGER  GOAT - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
GINGER  CHICKEN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
CHILLI GOBI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
GOBI 65 - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
PEPPER PANEER - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.99
ANDHRA CHICKEN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
GINGER SHRIMP - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
SHRIMP 65 - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
IRANIAN SAMOSA (3 PIECES) - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,3.99
BHEL PURI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
PANI PURI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,3.99
PAPDI CHAAT - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,5.49
PAV BHAJI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,5.99
SAMOSA CHAAT - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,5.49
SEV PURI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
VADA PAV - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
ALOO KATI ROLL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,5.99
CHICKEN KATI ROLL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
DAHI BATATA PURI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
PANEER KATI ROLL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
EX PAV - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.00
CHICKEN TIKKA SPECIAL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.29
NON VEG SPECIAL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,7.29
PANEER TIKKA SPECIAL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
VEG SPECIAL - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,6.99
ALOO PARATHA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,4.99
KHEEMA  PAV - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
EGG PUFFS - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
CHICKEN PUFFS - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
PANEER PUFFS - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
CHICKEN TIKKA PIZZA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,8.99
CHILI CHICKEN PIZZA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,8.99
CHILI PANEER PIZZA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,8.99
KHEEMA PIZZA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,8.99
PAV BAAJI PIZZA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,8.99
CAKE SLICES - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
FRENCH PASTRIES - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
MOUSSE - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
COFFEE - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.79
INDIAN CHAAI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.79
LASSI MANGO - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.50
LASSI SWEET - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.50
SODA - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.50
BONELESS CHICKEN BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
EGG BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
CHICKEN DUM BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
FISH BIRYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
KHEEMA BIRYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
GOAT BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
SHRIMP BIRYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
VEG DUM BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,9.99
VEG PANEER BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
VIJAYAWADA BIRIYANI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.99
CHICKEN TIKKA KABAB - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.49
MALAI KABAB - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.49
PANEER TIKKA KABAB - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,10.99
TANGDI KABAB - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,12.49
TANDOORI CHICKEN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,11.99
TANDOORI PLATTER - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,16.99
TANDOORI ROTI - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.99
BUTTER NAAN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.49
GARLIC NAAN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,2.99
PLAIN NAAN - REGULAR,SABROSO BURRITO,"CHOWNOW, SCHAUMBURG, IL",,1.99
