name,restaurant_name,identifier,calories,price_usd
JAPANESE TRADITIONAL CLEAR SOUP - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,0.99
MISO SOUP - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,2.99
SEAWEED SALAD - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,4.99
VEGETABLE TEMPURA APPETIZER - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,4.25
SHRIMP TEMPURA APPETIZER - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,6.65
EDAMAME - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,4.99
SPRING ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,1.99
TUNA TATAKI - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,9.69
JAPANESE SPRING ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,1.99
AVOCADO ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,3.99
BAGEL ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,5.40
BLAZING CALIFORNIA ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,5.25
BOSTON ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,7.49
CALIFORNIA ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,5.99
CAROLINA ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,6.99
CATERPILLAR ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,13.95
CRAB ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,3.99
CRUNCHY ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,6.99
DRAGON SAKE ROLL - REGULAR,SAKE EXPRESS INC. OF GASTONIA,"CHOWNOW, GASTONIA, NC",,13.75
