name,restaurant_name,identifier,calories,price_usd
GARLIC BREAD - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,2.00
GARLIC BREAD - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.00
GARLIC BREAD WITH CHEESE - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.00
GARLIC BREAD WITH CHEESE - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.50
BREADSTICKS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.75
BREADSTICKS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,7.00
CHEESY BREADSTICKS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
CHEESY BREADSTICKS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
FRENCH FRIES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,2.50
FRENCH FRIES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.50
STEAK FRIES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,2.50
STEAK FRIES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.50
LOADED FRIES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.75
LOADED FRIES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.00
CHILI CHEESE FRIES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.75
CHILI CHEESE FRIES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.00
ONION PEDALS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
ONION PEDALS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
POTATO SKINS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.50
POTATO SKINS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.50
CORN NUGGET - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
CORN NUGGET - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
BREADED CAULIFLOWER - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
BREADED CAULIFLOWER - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
DEEP FRIED MUSHROOMS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
DEEP FRIED MUSHROOMS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
BROCCOLI & CHEESE BITES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
BROCCOLI & CHEESE BITES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
MAC & CHEESES BITES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
MAC & CHEESES BITES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
BREADED FRIED PICKLES - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
BREADED FRIED PICKLES - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
JALAPENO POPPERS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
JALAPENO POPPERS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
HOT PEPPER CHEESE BALLS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
HOT PEPPER CHEESE BALLS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
MOZZARELLA STICKS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
MOZZARELLA STICKS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
MINI TACOS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
MINI TACOS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
FRIED GREEN BEANS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.25
FRIED GREEN BEANS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.00
PRETZELS WITH BEER CHEESE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.75
LOADED NACHOS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.00
LOADED NACHOS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,10.00
PIZZA NACHOS - SMALL,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.00
PIZZA NACHOS - LARGE,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.75
BONE IN WINGS - 10 WINGS,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,8.29
BONE IN WINGS - 20 WINGS,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,16.58
BONE IN WINGS - 30 WINGS,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,24.87
BONE IN WINGS - 40 WINGS,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,33.16
BONELESS WINGS - 1/4 LB,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.50
BONELESS WINGS - 1/2 LB,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.25
BONELESS WINGS - 1 LB,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,12.50
BONELESS WINGS - 2 LB,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,25.00
SIDE SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.50
GARDEN SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
CHEF SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
TURKEY SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
CHICKEN SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
GREEK SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
BUFFALO CHICKEN SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
TACO SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
FAJITA CHICKEN SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
COBB SALAD | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
TURKEY SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.50
BUFFALO CHICKEN SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,7.00
CHEF SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.50
CHICKEN SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,7.00
COBB SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.50
FAJITA CHICKEN SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,7.00
GARDEN SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.25
GREEK SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.50
SIDE SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.50
TACO SALAD | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.50
BREADED CHICKEN SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
GRILLED CHICKEN SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
GARLIC CHICKEN SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
CHICKEN MELT SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,6.00
BIG T TENDERLOIN SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
HAND BREADED TENDERLOIN - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
FISH SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
GRILLED CHEESE SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,3.25
BBQ PULLED PORK SANDWICH - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.00
HAM & CHEESE SUBS | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
COMBO SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
ITALIAN SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
TURKEY SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
BLT SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
ROAST BEEF PHILLY SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
ROAST BEEF SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
MEATBALL SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
PIZZA SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,4.75
CLUB SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
CBR SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
BUFFALO CHICKEN SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
PHILLY CHEESESTEAK SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.50
STEAK SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.50
BBQ CHICKEN SUB | SMALL - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,5.25
BBQ CHICKEN SUB | LARGE - REGULAR,SARAH'S GREEK CUISINE,"CHOWNOW, CLERMONT, FL",,7.75
