name,restaurant_name,identifier,calories,price_usd
SPECIAL JAPANESE UNAGI BOX: UME - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,25.00
SPECIAL JAPANESE UNAGI BOX: TA-KE - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,50.00
PREMIUM JAPANESE UNAGI BOX: MATSU - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,68.00
PREMIUM JAPANESE UNAGI BOX: TOKU-JO - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,95.00
UNAGI TEMPURA BOWL: NAMI - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,35.00
UNAGI TEMPURA BOWL:  JO - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,48.00
UNAGI BOWL: UMAKI - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,18.00
UNAGI BOWL:  YANAGAWA - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,35.00
UNAGI BOWL: GOMOKU SUSHI - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,35.00
SPECIAL UNAGI BOX: TSUKUNE - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,30.00
JAPANESE WAGYU BEEF SUKIYAKI BOWL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,35.00
JAPANESE WAGYU BEEF UNAGI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,60.00
TOKU SPECIAL BENTO BOX - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,80.00
CHEF'S CHOICE 9 PC NIGIRI SUSHI SET - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,55.00
CHEF'S CHOICE 5 PC NIGIRI SUSHI SET - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
UNAGI BO-SUSHI MATSU - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,32.00
CUCUMBER HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,6.00
OSHINKO HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,6.00
KANPYO HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,6.00
UME SHISO HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,6.00
TUNA HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,7.00
NEGI-HAMA HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,7.00
NEGI-TORO HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
TORO-TAKU HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,15.00
UNA-KYU HOSOMAKI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
CALIFORNIA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
SALMON SKIN ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
SPICY TUNA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
SPICY CALIFORNIA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
SPICY SALMON ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
VEGETABLE ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,9.00
SPIDER ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,10.00
BAKED CRAB ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,10.00
PHILADELPHIA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,12.00
ALASKAN ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,15.00
SHRIMP TEMPURA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,15.00
CRUNCHY ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,17.00
RAINBOW ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
SUPER CALIFORNIA ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,29.00
UNAGI AVOCADO ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,29.00
TOKU SPECIAL UNAGI CATERPILLAR ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,32.00
TOKU SPECIAL UNAGI DRAGON ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,32.00
LOBSTER ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,39.00
JAPANESE WAGYU BEEF UNAGI ROLL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,60.00
CHICKEN TERIYAKI BOWL - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,12.00
CHICKEN TERIYAKI PLATE - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
BEEF RIB EYE TERIYAKI PLATE - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
SALMON TERIYAKI PLATE - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,20.00
EDAMAME - REGULAR,SCHLOTZSKY'S DELI,"CHOWNOW, OLATHE, KS",,7.00
