name,restaurant_name,identifier,calories,price_usd
ADD TO CART - SHIPPING - ADD TO CART,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,0.00
LARGE SEV - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
LARGE SEV - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
LARGE SEV - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
LARGE SEV - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
LARGE SEV - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
MEDIUM SEV - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
MEDIUM SEV - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
MEDIUM SEV - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
MEDIUM SEV - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
MEDIUM SEV - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
SMALL SEV - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
SMALL SEV - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
SMALL SEV - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
SMALL SEV - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
SMALL SEV - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
SPICY SEV - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
SPICY SEV - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
SPICY SEV - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
SPICY SEV - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
SPICY SEV - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
LIMBU MURI SEV - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
LIMBU MURI SEV - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
LIMBU MURI SEV - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
LIMBU MURI SEV - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
LIMBU MURI SEV - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
BHAVNAGRAI GANTHIYA - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
BHAVNAGRAI GANTHIYA - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
BHAVNAGRAI GANTHIYA - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
BHAVNAGRAI GANTHIYA - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
BHAVNAGRAI GANTHIYA - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
STAR GANTHIYA - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
STAR GANTHIYA - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
STAR GANTHIYA - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
STAR GANTHIYA - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
STAR GANTHIYA - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
ALOO SPICY GANTHIYA - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
ALOO SPICY GANTHIYA - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
ALOO SPICY GANTHIYA - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
ALOO SPICY GANTHIYA - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
ALOO SPICY GANTHIYA - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
PLAIN GANTHIYA - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
PLAIN GANTHIYA - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
PLAIN GANTHIYA - 3 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,20.97
PLAIN GANTHIYA - 4 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,27.96
PLAIN GANTHIYA - 5 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,34.98
SPICY GANTHIA - 1 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,7.00
SPICY GANTHIA - 2 LB,SEAFOOD EXPRESS & MORE,"JACKSONVILLE, FL",,13.98
