name,restaurant_name,identifier,calories,price_usd
K.F.C. BAO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,6.00
SHRIMP BAO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,6.50
SMOKED SALMON - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,9.00
PORK BELLY BAO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,6.00
UDON CARBONARA - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,16.00
KUNGPAO CAULIFLOWER - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,12.00
PORK BOSSAM - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,30.00
KALBI SHORT RIBS BOSSAM - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,35.00
PEACHES & TOMATO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,14.00
SIDE OF RICE - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,2.00
GYOZA - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,14.00
BLUEFIN TUNA TARTAR - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,17.00
ANGRY TIGER PRAWNS - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,24.00
CHICKEN RICE BOWL - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,8.00
GRILLED CHEESE BAO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,4.00
PB & J BAO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,3.00
STICKY NOODLES - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,7.00
BUNDABERG GINGER BEER - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,4.00
DRAUGHTSMEN RICE LAGER - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,6.00
MEXICAN COKE - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,4.00
ROASTED GREEN TEA - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,3.50
TOPO CHICO - REGULAR,SECRET BAO,"SANTA BARBARA, CA",,4.00
