name,restaurant_name,identifier,calories,price_usd
ATHLETIC BREWING N/A IPA - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,7.00
GUNNER'S DAUGHTER - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,8.00
MANIAC MAC HARD CIDER - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,5.00
GEARY'S OG LIGHT LAGER - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,7.00
MAINE BEER COMPANY LUNCH - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,8.00
PERONI ITALIAN LAGER - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,5.00
187ML LALUCA PROSECCO - 187ML,SHANE'S RIB SHACK,"GLENDALE, AZ",,7.00
187ML STELLA ROSA MOSCATO - 187ML,SHANE'S RIB SHACK,"GLENDALE, AZ",,6.00
750ML WINE BOTTLES - JOSH CABERNET SAUVIGNON,SHANE'S RIB SHACK,"GLENDALE, AZ",,25.00
750ML WINE BOTTLES - JOSH PINOT GRIGIO,SHANE'S RIB SHACK,"GLENDALE, AZ",,25.00
750ML WINE BOTTLES - JOSH CHARDONNAY,SHANE'S RIB SHACK,"GLENDALE, AZ",,25.00
ROSE ALL DAY - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,8.00
2 LITER BOTTLES - PEPSI,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.95
2 LITER BOTTLES - DIET PEPSI,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.95
2 LITER BOTTLES - SIERRA MIST,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.95
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - PEPSI,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - DIET PEPSI,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - SIERRA MIST,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - DIET MOUNTAIN DEW,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - DR. PEPPER,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
ASSORTED PEPSI PRODUCTS 20OZ BOTTLES - GINGER ALE,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
SAN PELLEGRINO - LEMON,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
SAN PELLEGRINO - CLEMENTINE,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
SAN PELLEGRINO - BLOOD ORANGE,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
SAN PELLEGRINO - POMEGRANATE,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
SAN PELLEGRINO - SPARKLING WATER,SHANE'S RIB SHACK,"GLENDALE, AZ",,3.00
SAN PELLEGRINO - STILL WATER,SHANE'S RIB SHACK,"GLENDALE, AZ",,3.00
2 GARLIC KNOTS - 2 KNOTS,SHANE'S RIB SHACK,"GLENDALE, AZ",,1.20
30 GARLIC KNOTS - 30 KNOTS,SHANE'S RIB SHACK,"GLENDALE, AZ",,20.00
6 GARLIC KNOTS - 6 KNOTS,SHANE'S RIB SHACK,"GLENDALE, AZ",,3.70
60 GARLIC KNOTS - 60 KNOTS,SHANE'S RIB SHACK,"GLENDALE, AZ",,40.00
1- SAUSAGE - 1,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.00
1-MEATBALL - 1,SHANE'S RIB SHACK,"GLENDALE, AZ",,2.50
BANGS ISLAND MUSSELS - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,15.00
DAVINCI WINGS - 6,SHANE'S RIB SHACK,"GLENDALE, AZ",,8.00
DAVINCI WINGS - 12,SHANE'S RIB SHACK,"GLENDALE, AZ",,16.00
FRIED CALAMARI - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,13.00
LUNA DI LUNA - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,9.00
SAUSAGE STUFFED MUSHROOMS - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,9.00
SIDE OF ALFREDO - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,3.00
SIDE OF MARINARA - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,3.00
ANTIPASTO - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,15.00
BEET SALAD - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,12.00
CAESAR SALAD - PICCOLO,SHANE'S RIB SHACK,"GLENDALE, AZ",,5.00
CAESAR SALAD - LARGE,SHANE'S RIB SHACK,"GLENDALE, AZ",,9.00
CRANBERRY WALNUT SALAD - REGULAR,SHANE'S RIB SHACK,"GLENDALE, AZ",,12.00
HOUSE SALAD - SMALL,SHANE'S RIB SHACK,"GLENDALE, AZ",,5.00
