name,restaurant_name,identifier,calories,price_usd
BANG BANG SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
GENERAL TAO'S CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
GENERAL TAO'S SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
HIBACHI CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
HIBACHI SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
HIBACHI STEAK - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
HIBACHI TOFU - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
HIBACHI VEGGIE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
ORANGE CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
ORANGE SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
SESAME CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.25
SESAME SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
CLEAR MUSHROOM SOUP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.50
JAPANESE ONION SOUP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.50
MISO SOUP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.50
APPLE CHICKEN SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.75
HOUSE GREEN SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.75
PARMESAN SHRIMP SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.50
SEARED AHI TUNA SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
AVOCADO CUCUMBER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
AVOCADO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
CUCUMBER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
SWEET POTATO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
VEGETABLE ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
ASPARAGUS TEMPURA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
88 ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
BOSTON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
CALIFORNIA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
EEL ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
FANTASY ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
GRILLED CHICKEN ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
RON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SHRIMP TEMPURA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
ALASKAN ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
DYNAMITE ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
PHILADELPHIA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SALMON AVOCADO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SALMON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SPICY SALMON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SPICY TUNA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SPICY YELLOW TAIL ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
TUNA AVOCADO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
SALMON LOVER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,14.95
SHINKO NIGIRI PLATE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,11.50
SHINKO SASHIMI PLATE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,12.50
SUSHI SASHIMI LOVER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,19.95
TUNA LOVER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,16.95
CRAB NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.75
EEL NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.45
SALMON NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.45
SHRIMP NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.75
SMELT ROE NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.45
SMOKED SALMON NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.45
TUNA NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.45
WHITE TUNA NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.50
YELLOWTAIL NIGIRI (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.25
CRAB SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.75
EEL SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.45
SALMON SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.45
SHRIMP SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.75
SMOKED SALMON SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.45
TUNA SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.45
WHITE TUNA SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.50
YELLOWTAIL SASHIMI (3) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.25
CAROLINA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,14.95
CATERPILLAR ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
DRAGON MAKI ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
DRAGON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
FLAMING ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
GODZILLA ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,15.50
GREEN DRAGON ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
HOT RIVER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
ICHIBAN ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
INCREDIBLE HULK ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,15.50
LOBSTER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,16.50
M&M ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
OCEAN ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,15.50
PACRIM MAKI ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
PINK LADY ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
POWER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.95
RAINBOW ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
RED BOY ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
SHINKO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
SNOW MOUNTAIN ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
SPIDER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
TIGER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
TSUNAMI ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
WINTER ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
WOK ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,7.95
AMERICAN DREAM MAKI ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,12.99
ATLANTIC FRIED ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.99
NEW YORK ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.99
PACIFIC FRIED ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.99
SHINKO FRIED ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,12.99
VOLCANO ROLL - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,12.99
U PICK 2 BASIC SUSHI ROLLS - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
U PICK 2 SIGNATURE ROLLS - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,20.95
U PICK 3 BASIC SUSHI ROLLS - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.95
U PICK 3 BENTO BOX - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,13.50
SALMON HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,11.95
SCALLOP HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,11.95
SHRIMP HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
STEAK HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
TOFU HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,8.75
VEGETABLE HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,7.95
WHITE MEAT CHICKEN HIBACHI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.75
BANG-BANG SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
CHICKEN BROCCOLI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
GENERAL TSO'S CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
GENERAL TSO'S SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
ORANGE CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
SESAME CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
SESAME SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
SHRIMP WITH BROCCOLI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
SPICY GARLIC CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,9.95
SPICY GARLIC SHRIMP - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,10.95
BANG BANG SHRIMP (10 ) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,7.95
CRAB RANGOON (6) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.50
EDAMAME - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.50
EGG ROLL (1) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.25
FRIED RICE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.50
KANI SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.75
NOODLE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.95
POT STICKER (6) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.95
SIDE SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.50
SPICY KANI SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.75
SPRING ROLL (2) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.25
SQUID SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,5.00
STEAM MIX VEG - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.95
SUSHI RICE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.00
SEAWEED SALAD - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,4.75
WHITE RICE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.00
KID CHICKEN BROCCOLI - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
KID CHICKEN NUGGET (4) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
KID FRIED SHRIMP (5) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
KID HIBACHI CHICKEN - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
KID HIBACHI SHRIMP (5) - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,6.95
BOTTLE WATER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,1.35
CANNED DRINKS - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,1.25
LIFE WATER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,2.25
BOTTLED SODA DRINK - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,1.99
BANG ENERGY DRINK - 16 OZ,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,3.95
BANG BANG SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
CAESAR - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
EEL SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
GINGER SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
HOME MADE DUCK SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
RANCH - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
SOY GINGER - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
SPICY MAYO - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
SRIRACHA HOT SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
WASABI MAYO - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
WHITE SAUCE - REGULAR,SHINKO GRILL,"CHOWNOW, HIGH POINT, NC",,0.25
