name,restaurant_name,identifier,calories,price_usd
ACAI BOWLS - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,5.00
ACAI BOWLS - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,7.50
ACAI BOWLS - 32,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,11.50
BYO OATMEAL - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
BYO OATMEAL - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
FIRE ISLAND SUNRISE - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
FIRE ISLAND SUNRISE - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
HIGH TIDE - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.14
HIGH TIDE - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,5.98
HOLY HAMPTONS - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
HOLY HAMPTONS - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
SUNSET CRUISE - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
SUNSET CRUISE - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
THE MONTAUK - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
THE MONTAUK - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
THE SHINNECOCK - 8 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,4.50
THE SHINNECOCK - 16 OZ,SHISO SUSHI,"CHOWNOW, ORLANDO, FL",,6.50
