name,restaurant_name,identifier,calories,price_usd
DUTCH BABY - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
CHEEZY DUTCH - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
MONTE CRISTO FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
MICHALE PHELPS FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
SWEET WAFFLE HEAVEN - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
CLASSIC DINER BREAKFAST PLATTER - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,7.00
CHICKEN & WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,14.00
CREAMED CHIPPED BEEF - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
CORNED BEEF HASH - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
BMORE BREAKFAST PLATTER - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
SAUSAGE GRAVY & BISCUITS - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
GREEK SCRAMBLE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
SMOKED SALMON SCRAMBLE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,14.00
SANTORINI OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
HERCULES OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,13.00
BROTHERLY LOVE OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,13.00
CARNE OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
SIP & BITE OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,13.00
GREAT WESTERN OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
THE HASH OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
TEX MEX OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,10.00
EL SOMBRERO OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
MAKE YOUR OWN OMELETTE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
FARMHOUSE BENEDICT - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,15.00
THE (NOT SO) TRADITIONAL BENEDICT - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
NOVA SCOTIA BENEDICT - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,15.00
CALIFORNIA LOVE BENEDICT - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
EARLY BIRD BREAKFAST BOWL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
ALL THE MEATS BREAKFAST BOWL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
PHILLY BREAKFAST BOWL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
COUNTRY SCRAMBLE BOWL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
DINER BREAKFAST SANDWICH - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
B.A.L.T. - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
BREAKFAST QUESADILLA - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
BREAKFAST GRILLED CHEESE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
TEX-MEX BREAKFAST SANDWICH - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,10.00
BREAKFAST BURGER - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
VEGETARIAN BURRITO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,10.00
CLASSIC BAGEL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
MISS VEGGIE BAGEL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,8.00
HANGOVER HELPER - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,10.00
PHILLY CHEESESTEAK MORNING SAMMIE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
CHICKEN BREAKFAST SANDWICH - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
MORNING PITA WRAP - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
AMIGO BURRITO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
LOX SAMMIE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
MISTER HEALTHY BAGEL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
CHOCOLATE CHIP PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
STRAWBERRY SHORTCAKE PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
FRUIT MEDLEY PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
COOKIES & CREAM PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
BANANA & CHOCOLATE PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.50
BLUEBERRY PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
WALNUT PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
FRUIT MEDLEY FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
BLUEBERRY FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,11.00
NUTELLA & COCONUT FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
WALNUT & CARAMEL FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
STRAWBERRY SHORTCAKE FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,9.00
STRAWBERRY WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
FRUIT MEDLEY WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
COOKIES & CREAM WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
CHOCOLATE CHIP WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
BLUEBERRY WAFFLES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
NY STRIP STEAK BREAKFAST COMBO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,21.00
GRILLED CHICKEN BREAKFAST COMBO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,15.00
SPANAKOPITA BREAKFAST COMBO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,12.00
SALMON FILET BREAKFAST COMBO - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,16.00
SHORT STACK PANCAKES - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,5.00
SHORT STACK MINI WAFFLE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,5.00
EGG BREAKFAST SIDE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,1.00
FRESH FRUIT CUP - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,4.50
BACON - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,3.50
COUNTRY HAM - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,3.50
TURKEY BACON - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,4.00
VEGGIE SAUSAGE - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,4.00
BISCUIT - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,2.00
BAGEL - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,3.00
SHORT STACK FRENCH TOAST - REGULAR,SIP & BITE DINER,"CHOWNOW, BALTIMORE, MD",,5.00
