name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,0.00
CREATE YOUR OWN STIR-FRY - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,11.99
STIR-FRIED RICE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,10.49
THAI PINEAPPLE FRIED RICE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,10.49
SPRING ROLLS (10 PCS) - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,8.99
SPRING ROLLS (4 PCS) - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,4.99
SHRIMP TEMPURA (10 PCS) - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,10.99
FRIED CHICKEN DUMPLINGS (10 PCS) - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,8.99
BROWN RICE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
WHITE RICE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
EGG DROP SOUP - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
MISO SOUP - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
SMALL SALAD WITH GINGER - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
SMALL SALAD WITH RANCH - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
SMALL SALAD WITH ITALIAN - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,1.99
LEMONADE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
CHERRY LIMEADE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
DR. PEPPER - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
SPRITE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
DIET COKE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
COKE - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
SWEETENED GREEN TEA - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
SWEETENED BLACK TEA - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
UNSWEETENED BLACK TEA - REGULAR,SIZZLE MONGOLIAN GRILL,"CHANDLER, AZ",,2.49
