name,restaurant_name,identifier,calories,price_usd
BRUSCHETTA - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,6.99
GARLIC KNOTS - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
GARLIC CHEESE BREAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
HOT CHIPS WITH RANCH - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
CHEESE STICKS - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
MUSHROOMS - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
ONION RINGS - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
CHICKEN NUGGETS - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,4.99
BAKED FRIES - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
FRENCH FRIES - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,3.99
SIDE MEATBALL - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,3.00
TRADITIONAL WINGS - 6 WINGS,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
TRADITIONAL WINGS - 10 WINGS,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,9.99
TRADITIONAL WINGS - 20 WINGS,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,17.99
BONELESS WINGS - 6 WINGS,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
BONELESS WINGS - 12 WINGS,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,9.99
GRILLED CHICKEN SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
GREEK SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
CHEF SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
TUNA SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
CAESAR SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,6.49
GARDEN SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,5.99
SIDE SALAD - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,2.39
CHICKEN QUESADILLA - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
STEAK QUESADILLA - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
ITALIAN SUB - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.99
HAM & CHEESE - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.69
TURKEY SUB - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.69
TUNA SUB - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,8.69
CHEESE STEAK - REGULAR,SOPRANO'S ITALIAN RESTAURANT,"CHOWNOW, RANDLEMAN, NC",,7.99
