name,restaurant_name,identifier,calories,price_usd
CRISPY FINGERLING POTATOES - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,9.00
BAKED GOAT CHEESE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
PARMESAN TRUFFLE FRIES - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
KUNG POW BRUSSELS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
MOROCCAN MEATBALLS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,15.00
CRISPY PORK RIBS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,9.00
THAI PEANUT - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,9.00
ST. FRANCIS BLUE CHEESE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
MEDITERRANEAN MIX - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
FORBIDDEN RICE BOWL - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,10.00
FISH TACOS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,11.00
WOOD-FIRED CHILI VERDE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,15.00
SCALLOPS AND RISOTTO - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,19.00
WOOD-FIRED LAMB CURRY - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,16.00
FORBIDDEN FRIED CHICKEN - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,20.00
SALMON SUPERFOOD - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,22.00
STUFFED FRENCH TOAST - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,11.00
BLACK & BLUE BURGER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
SALMON BLT - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,13.00
TRUFFLE SHIITAKE BURGER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
ST. FRANCIS FISH SANDWICH - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,12.65
GRILLED VEGGIES & SPROUTS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,11.00
WHISKEY JALAPENO BURGER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
THE FRENCH ONION BURGER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
THE FAMOUS PIG DIP - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,16.00
THE SHORTY DIP - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,16.00
BANH MI PHO DIP - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,16.00
HAMBURGER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,13.50
BLANCA PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,11.00
BUTCHER BLOCK PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,15.00
JALAPENO CREAM CHICKEN PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,13.00
MARGHERITA PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,12.00
PULLED BACON BBQ PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
ARUGULA-PROSCIUTTO PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,13.00
MOROCCAN MEATBALL PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,14.00
THE PIG DIP PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,17.50
SIOUX CITY CREAM SODA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,3.00
ROOT BEER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,3.00
MEXICAN SPRITE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,3.00
CAN OF DIET COKE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,2.00
POPCORN CREME BRULEE - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,8.00
BLACKBERRY COBBLER - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,9.00
WOOD FIRED BREAD PUDDING - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,9.00
TWO KIDS CHEESE SLIDERS - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,5.00
KIDS PIZZA - REGULAR,ST. FRANCIS,"PHOENIX, AZ",,5.00
