name,restaurant_name,identifier,calories,price_usd
 INCH AWARD WINNING INCH  HICKORY SMOKED WINGS - 6 WINGS,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,9.75
 INCH AWARD WINNING INCH  HICKORY SMOKED WINGS - 12 WINGS,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,17.50
CORNBREAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,3.00
FRIED PICKLES - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,8.00
BRISKET NACHOS - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,14.00
STICKY SKINS - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,10.50
LOADED CHEESE FRIES - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,10.00
DEVILED EGGS - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,7.00
BUFFALO CHICKEN TOTS - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,11.50
PRETZEL BITES AND BEER CHEESE - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,8.00
BOWL OF BRISKET CHILI - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,6.00
SMOKEHOUSE CLUB SALAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,13.50
BRISKET CAESAR SALAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,14.00
PICK-A-CHICK SALAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,12.75
HOUSE SALAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,5.00
CAESAR SALAD - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,5.00
BARBECUE PULLED PORK SANDWICH - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,11.00
BARBECUE CHOPPED BRISKET SANDWICH - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,13.00
BRISKET PHILLY SANDWICH - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,14.00
CHEESY CHICKEN SANDWICH - REGULAR,STICKY FINGERS RIBHOUSE,"CHOWNOW, CHATTANOOGA, TN",,12.75
