name,restaurant_name,identifier,calories,price_usd
SHIITAKE MUSHROOM POT STICKERS - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,7.99
GARLIC EDAMAME - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,5.99
CRISPY DIM SUM - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,7.99
RED PEPPER CALAMARI - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,13.99
CRAB RANGOON - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,8.99
WOK CHICKEN WINGS - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
CRAB & SHRIMP SPRING ROLLS - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,3.99
CHICKEN FRIED RICE - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,10.99
STEAK FRIED RICE - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,13.99
CRAB FRIED RICE - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,14.99
SHRIMP FRIED RICE - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,13.99
VEGETABLE FRIED RICE - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,9.99
BANGKOK STREET PAD THAI - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,8.99
BANGKOK STREET PAD THAI - CHICKEN,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
BANGKOK STREET PAD THAI - STEAK,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,14.99
BANGKOK STREET PAD THAI - SHRIMP,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,14.99
DRUNKEN NOODLES - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,9.99
DRUNKEN NOODLES - CHICKEN,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,12.99
DRUNKEN NOODLES - STEAK,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,15.99
DRUNKEN NOODLES - SHRIMP,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,15.99
SINGAPORE BLACK PEPPER STEAK - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,14.99
SPICY DRAGON - CHICKEN,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,12.99
SPICY DRAGON - STEAK,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,16.99
SPICY DRAGON - SHRIMP,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,16.99
SWEET & SOUR TEMPURA SHRIMP - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,14.99
THAI GREEN CHICKEN CURRY - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
TERIYAKI CHICKEN - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
MALAYSIAN RED CHICKEN CURRY - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
CUCUMBER AVOCADO ROLL - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,7.99
CALIFORNIA CRAB ROLL - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,11.99
SHRIMP TEMPURA ROLL - REGULAR,STREET CARTS ASIAN KITCHEN,"CHOWNOW, BALTIMORE, MD",,9.99
