name,restaurant_name,identifier,calories,price_usd
SUMMIT HOUSE GIFT CARDS - $100,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,100.00
SUMMIT HOUSE GIFT CARDS - $75,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,75.00
SUMMIT HOUSE GIFT CARDS - $50,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,50.00
SUMMIT HOUSE GIFT CARDS - $125,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,125.00
SUMMIT HOUSE GIFT CARDS - $150,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,150.00
SUMMIT HOUSE GIFT CARDS - $200,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,200.00
SUMMIT HOUSE GIFT CARDS - $500,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,500.00
PRIME RIB FAMILY DINNER FOR 4 TO 6 - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,295.00
PRAWN COCKTAIL - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,17.00
CHESAPEAKE BAY STYLE CRAB CAKES - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,19.00
HAWAIIAN AHI SASHIMI - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
SUMMIT HOUSE SALAD - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
BLUE CHEESE ICEBERG WEDGES - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
LOBSTER BISQUE SOUP - BOWL,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,12.00
LOBSTER BISQUE SOUP - QUART,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,18.00
SUMMIT CUT ROAST PRIME RIBS OF BEEF - SUMMIT CUT,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,49.00
JOHN DORY - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,43.00
COTTAGE CUT ROAST PRIME RIBS OF BEEF - COTTAGE,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,44.00
SKUNA BAY SALMON - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,39.00
CASTLE CUT ROAST PRIME RIB OF BEEF - CASTLE CUT,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,68.00
PRIME RIB  INCH DIP INCH  SANDWICH - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,29.00
10OZ FILET MIGNON - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,66.00
7OZ FILET MIGNON - 7 OZ,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,54.00
CARAMEL WHISKEY BREAD PUDDING - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,15.00
J. M. ROSEN’S NEW YORK CHEESECAKE - SLICE,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,15.00
J. M. ROSEN’S NEW YORK CHEESECAKE - WHOLE CAKE,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,75.00
THREE CHOCOLATE TORTE - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,15.00
ENGLISH TRIFLE - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,13.00
FAMOUS CREAMED CORN - 12 OZ,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,7.50
FAMOUS CREAMED CORN - QUART,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
CREAMED SPINACH - 12 OZ,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,7.50
CREAMED SPINACH - QUART,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
GARLIC MASHED POTATOES - 12 OZ,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,7.50
GARLIC MASHED POTATOES - QUART,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
AU GRATIN POTATO - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,7.50
ROSEMARY GINGER OLD FASHIONED - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
TITO'S MULE - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
BURNING CHAIR MANHATTAN - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
LAVENDER LEMON DROP - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
SUMMIT HOUSE MARGARITA - REGULAR,SUMMIT HOUSE RESTAURANT,"FULLERTON, CA",,14.00
