name,restaurant_name,identifier,calories,price_usd
L26. SUSHI LUNCH A - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.00
L27. SUSHI LUNCH B - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.00
L28. SUSHI LUNCH C - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.00
L29. SASHIMI LUNCH - REGULAR,SUSHI BISTRO,"OCALA, FL",,10.00
L30. SUSHI & SASHIMI COMBO - REGULAR,SUSHI BISTRO,"OCALA, FL",,13.25
L1. HIBACHI VEGETABLE - REGULAR,SUSHI BISTRO,"OCALA, FL",,7.99
L2. HIBACHI CHICKEN - REGULAR,SUSHI BISTRO,"OCALA, FL",,8.99
L3. HIBACHI STEAK - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L4. HIBACHI SALMON - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L5. HIBACHI SHRIMP - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L6. HIBACHI SCALLOPS - REGULAR,SUSHI BISTRO,"OCALA, FL",,10.50
L7. HIBACHI CHICKEN & STEAK - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.95
L8. HIBACHI CHICKEN & SHRIMP - REGULAR,SUSHI BISTRO,"OCALA, FL",,10.50
L9. HIBACHI STEAK & SHRIMP - REGULAR,SUSHI BISTRO,"OCALA, FL",,10.50
L10. HIBACHI STEAK & SCALLOP - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.25
L11. HIBACHI SHRIMP & SCALLOP - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.25
L12. HIBACHI CHICKEN & SCALLOP - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.25
L13. HIBACHI SALMON & SHRIMP - REGULAR,SUSHI BISTRO,"OCALA, FL",,11.25
L24. SHRIMP TEMPURA - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L25. CHICKEN & SHRIMP TEMPURA - REGULAR,SUSHI BISTRO,"OCALA, FL",,10.99
MAKI LUNCH CHOICE OF 2 ROLLS - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.25
MAKI LUNCH CHOICE OF 3 ROLLS - REGULAR,SUSHI BISTRO,"OCALA, FL",,12.75
L14. CHICKEN TERIYAKI BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,8.99
L15. SHRIMP TERIYAKI BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L16. STEAK TERIYAKI BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L17. TOFU TERIYAKI BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,8.99
L18. SALMON TERIYAKI BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
L19. CHICKEN KATSU BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.50
L20. PORK KATSU BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.50
L21. BEEF KATSU BENTO BOX - REGULAR,SUSHI BISTRO,"OCALA, FL",,9.99
