name,restaurant_name,identifier,calories,price_usd
2 CHOICE COMBO - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
3 CHOICE COMBO - REGULAR,SUSHI MARU,"SAN JOSE, CA",,15.45
CHICKEN TERIYAKI (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
BEEF TERIYAKI (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
SALMON TERIYAKI (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
PORK CUTLET (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
SALMON SHIO (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
SABA SHIO (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
TEMPURA (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
VEGETABLE TEMPURA (ENTREE) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
NORI BENTO - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
RICE - REGULAR,SUSHI MARU,"SAN JOSE, CA",,2.45
GREEN SALAD - REGULAR,SUSHI MARU,"SAN JOSE, CA",,2.95
SEAFOOD SALAD - REGULAR,SUSHI MARU,"SAN JOSE, CA",,8.95
SEAWEED SALAD - REGULAR,SUSHI MARU,"SAN JOSE, CA",,4.95
MISO SOUP - REGULAR,SUSHI MARU,"SAN JOSE, CA",,2.45
EDAMAME - REGULAR,SUSHI MARU,"SAN JOSE, CA",,4.95
OHITASHI - REGULAR,SUSHI MARU,"SAN JOSE, CA",,4.95
STEAMED VEGETABLES - REGULAR,SUSHI MARU,"SAN JOSE, CA",,4.95
DAIKON SALAD - REGULAR,SUSHI MARU,"SAN JOSE, CA",,6.95
FRESH WSABI - REGULAR,SUSHI MARU,"SAN JOSE, CA",,1.50
DRESSING (8OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,4.95
SPICY MISO SAUCE - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.50
SPICY MAYO (2OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.50
SRIRACHA SAUCE (2OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.50
TARTAR SAUCE (2OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.50
JAPANESE MAYO (1OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.50
JAPANESE MAYO (2OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,0.75
CURRY SAUCE (8OZ) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,6.95
OYAKO DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,11.45
KATSU DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
CURRY RICE - REGULAR,SUSHI MARU,"SAN JOSE, CA",,9.45
KATSU CURRY RICE - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
GYU DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
UNA DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,21.00
CHICKEN DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,12.45
BEEF DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,13.45
KAKIAGE DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,10.45
MIX SASHIMI BENTO - REGULAR,SUSHI MARU,"SAN JOSE, CA",,18.95
MIX SASHIMI APPETIZER (5PC) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,11.45
MIX SASHIMI APPETIZER (8PC) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,15.45
CHEF'S SPECIAL SASHIMI (12PC) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,28.45
AWABI SASHIMI - REGULAR,SUSHI MARU,"SAN JOSE, CA",,11.95
WHITE TUNA TATAKI (5PC) - REGULAR,SUSHI MARU,"SAN JOSE, CA",,11.45
AJI TATAKI - REGULAR,SUSHI MARU,"SAN JOSE, CA",,11.45
SALMON & IKURA DON - REGULAR,SUSHI MARU,"SAN JOSE, CA",,15.45
