name,restaurant_name,identifier,calories,price_usd
EBI | SHRIMP - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
SMOKED SALMON - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
HAMACHI | YELLOW TAIL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
IKURA | SALMON ROE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
TAKO | OCTOPUS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
MAGURO | TUNA - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
TAMAGO | JAPANESE OMELET - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
UNAGI | FRESHWATER EEL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
MAGURO TATAKI | SEARED TUNA - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
BINCHO | ALBACORE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
SAKE | SALMON - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
SABA | MACKEREL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
SHIROMI | WHITE FISH - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
CALIFORNIA ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
GREEN GIANT ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
DRAGON ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
PHILLY ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
PUMPKIN DRAGON ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
LOBSTER TEMPURA MANGO ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
SPICY TUNA ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
SPICY YELLOWTAIL ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
SHRIMP TEMPURA ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
AVOCADO HOSOMAKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
SALMON NEW STYLE ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
SHRIMP & TUNA ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
CUCUMBER HOSOMAKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
TUNA HOSOMAKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
TUNA TATAKI ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
COCONUT SHRIMP ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
YELLOWTAIL HOSOMAKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
CATERPILLAR ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
KOKONATSU ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
ANGRY TUNA ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
SURF & TURF ROLL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
ASPARAGUS HOSOMAKI* - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
SALMON HOSOMAKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
C.L.T. - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
SALMON TARTAR - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.50
SPIDER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
EDAMAME - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.00
SPICY EDAMAME - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
HOUSEMADE SUNOMONO - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
BENTO BOX - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,15.00
MISO SOUP - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
FRIED SQUID LEGS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
GYOZA - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,8.00
CHIRASHI BOWL - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,14.00
RUFFLED POTATO CHIPS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,2.00
OKONOMIYAKI FRIES - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
SHISHITO PEPPERS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
OSAKA SALAD - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
OYSTERS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
CHICKEN SHIO RAMEN - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,14.00
SPICY CHICKEN RAMEN - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,15.00
CHICKEN KARA'AGE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,8.00
VEGETABLE RAMEN - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,14.00
BACON FRIED RICE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
CURRY - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
SPICY MISO RAMEN - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,15.00
LOCO MOCO - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
SPAM MUSUBI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,3.50
VEGETABLE FRIED RICE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,8.00
MOCHI ICE CREAM - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,6.00
MY WIFE'S DONUTS - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,8.00
SAPPORO - SMALL CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,4.00
SAPPORO - LARGE CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
STEM CIDER PEAR APPLE CIDER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,6.00
SAPPORO BLACK LAGER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
ORION RICE LAGER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
HITACHINO WHITE ALE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
HITACHINO YUZU LAGER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
HITACHINO CLASSIC ALE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
HAKUTSURU PLUM WINE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,23.50
AH-SO ROSE - 250ML CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
AH-SO RED - 250ML CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
AH-SO WHITE - 250ML CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
AH-SO BUBBLES - 250ML CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,9.00
AH-SO WINE COMBO - 250ML CAN,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,27.00
EIKO FUJI BAN RYU HONJOZO - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,24.00
SAYURI NIGORI - LARGE,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,29.00
KASUMI TSURU KIMOTO - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,25.00
DEWA NO YUKI “YUKI” JUNMAI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,29.00
TOZAI SNOW MAIDEN NIGORI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,20.00
TOZAI LIVING JEWEL JUNMAI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,20.00
HAKUTSURU AWA YUKI - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,16.00
GREEN TEA MULE - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
WHISKEY GINGER - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
CUCUMBER GIMLET - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,7.00
PLATTER  INCH A INCH  - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,66.00
PLATTER  INCH B INCH  - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,89.00
PLATTER  INCH C INCH  - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,104.00
PLATTER  INCH V INCH  - REGULAR,SUSHI-RAMA LONE TREE,"LONE TREE, CO",,79.00
