name,restaurant_name,identifier,calories,price_usd
SPICY FRIED GREEN BEANS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.50
PRETZEL WITH BEER CHEESE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,6.00
LOADED TATER BOATS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,9.00
ONION RINGS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.50
SPICY ARTICHOKE DIP,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,14.00
BREWPUB SAMPLER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.50
THE BAVARIAN SAMPLER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.50
CALAMARI,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,13.50
BREWPUB WINGS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,10.50
TATER TOTS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,6.50
FRIES,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,6.50
GARLIC FRIES,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.50
THAI TOTS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.50
THAI FRIES,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.50
CRISS-CUT SWEET POT FRIES,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,7.00
MOZZ LOGS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,12.50
SOUP,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,0.00
SMALL GARDEN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,7.00
SMALL CAESAR SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.00
GARDEN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,9.00
FRIED CHICKEN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,14.00
BUFFALO CHICKEN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,14.00
MEDITERRANEAN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,13.00
CAESAR SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,11.00
ARUGULA SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,13.00
REUBEN SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,14.00
WEDGE SALAD,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,11.00
CHEESEBURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,12.00
CORNED BEEF BURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,16.00
BACON AND BLUE BURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,16.00
PUB BURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.50
CHICKEN STRIPS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,13.00
FRENCHIE FRENCH DIP,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.00
PRIME RIB SANDWICH,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,16.00
PHILLY CHEESE STEAK,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,16.00
REUBEN SANDWICH,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.50
FISH & CHIPS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.00
SMALL FISH & CHIPS,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,12.00
SHEPHERD'S PIE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,17.00
HOFFBRAU SANDWICH,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.50
BLACK BEAN BURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.00
B.L.A.T,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,13.50
STROMBOLLI,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,22.00
GROWN-UP GRILLED CHEESE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,11.00
SPATZLE & CHEESE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,9.00
BN  CHEESEBURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,10.00
CIOPPINO,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,23.00
KIDS BURGER,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.00
KIDS PIZZA,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,7.65
KIDS SPATZLE & CHEESE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.00
KIDS GRILLED CHEESE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.00
KIDS STRIPS & FRIES,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,8.00
SAUSAGE PLATE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,17.50
WEINER SCHNITZEL W/SPAETZLE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,21.00
SCHNITZEL PARMESAN W/SPAETZLE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,21.00
BREWERY RIB-EYE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,32.00
HEFE SALMON,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,23.00
JAEGER SCHNITZEL W/SPAETZLE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,21.00
CREAMY CHICKEN PESTO PASTA,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,17.00
SCHWEINHAXE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,22.00
DINNER SPECIAL,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,15.00
COFFEE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,2.50
MILK,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,2.75
ORANGE JUICE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,2.75
KIDS DRINK,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,1.50
FLAVORED LEMONADE,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,3.25
ICED TEA,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,2.75
SOFT DRINK,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,2.75
$SIDE OF BUTTERMILK DRESSING,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,0.50
$SIDE OF BLUE CHEESE DRESSING,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,0.50
$SIDE OF GORGONZOLA DRESSING,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,0.50
$CHICKEN STRIP,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,1.50
$SIDE OF 1000 ISLAND DRESSING,SUTTER BUTTES BREWING YUBA CITY,"YUBA CITY, CA",,0.50
