name,restaurant_name,identifier,calories,price_usd
TAKE-OUT SILVERWARE - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,0.00
CINDY'S LEMON DROP - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,14.00
FLEUR DE LIS - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,14.00
' 21 MANHATTAN - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,14.00
RED-HEADED RITA - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,14.00
BARBECUE BABY BACK RIBS FAMILY MEAL – SERVE IMMEDIATELY - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,85.00
MR. JACK'S CRISPY CHICKEN FAMILY MEAL – SERVE IMMEDIATELY - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,45.00
PRIME RIB FAMILY MEAL – SERVE IMMEDIATELY - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,100.00
SPINACH CON QUESO - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,13.95
CHICKEN PASTA SOUP - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,6.95
GRILLED CHICKEN SALAD - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,15.95
ORIGINAL CAESAR SALAD - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,9.95
REDLANDS SALAD - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,9.95
SOUTHERN SALAD - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,16.95
THAI KAI SALAD - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,16.45
WEST END SANDWICH - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,13.95
OLD FASHIONED CHEESEBURGER - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,13.95
STEAK BURGER - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,14.95
VEGGIE BURGER - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,13.95
FRENCH DIP SANDWICH - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,19.95
NEW YORK STRIP STEAK - REGULAR,TACO CITY EXPRESS,"CAPE CANAVERAL, FL",,38.95
