name,restaurant_name,identifier,calories,price_usd
REGULAR BREAKFAST BURRITO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,5.50
SUPER BREAKFAST BURRITO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.00
REGULAR TACO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.00
TACO GRANDE - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.50
SUPER TACO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.99
TACO DE CAMARON - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.99
SUPER TACO DE CAMARON - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,3.99
SALAD - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.50
SOPE - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.50
TOSTADA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,5.00
TORTA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.00
ASADA FRIES - MEDIUM,TACOS EL GRULLO,"VISALIA, CA",,8.99
ASADA FRIES - LARGE,TACOS EL GRULLO,"VISALIA, CA",,9.99
NACHOS - MEDIUM,TACOS EL GRULLO,"VISALIA, CA",,8.99
NACHOS - LARGE,TACOS EL GRULLO,"VISALIA, CA",,9.99
QUESADILLA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.75
ARROZ Y FRIJOLES - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.50
COMBO PLATE - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,7.99
CAMARONES EMPANIZADOS - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,13.99
SHRIMP COCKTAIL - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,12.50
TOSTADA DE CAMARON - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,5.99
TRIPA O LENGUA TACO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.00
TRIPA OR LENGUA SUPER BURRITO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,7.00
TRIPA OR LENGUA REGULAR BURRITO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.00
TRIPA OR LENGUA TORTA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.75
TRIPA OR LENGUA SOPE - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,2.80
TRIPE OR LENGUA TOSTADA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.00
TRIPA OR LENGUA QUESADILLA - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,7.25
TRIPA OR LENGUA COMBO PLATE - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,8.99
7 CHICKEN NUGGETS AND FRIES - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,6.00
FRENCH FRIES - SMALL,TACOS EL GRULLO,"VISALIA, CA",,1.99
FRENCH FRIES - LARGE,TACOS EL GRULLO,"VISALIA, CA",,3.50
SALSA - 1OZ CUP,TACOS EL GRULLO,"VISALIA, CA",,0.50
ZANAHORIA - 12 OZ CUP,TACOS EL GRULLO,"VISALIA, CA",,2.50
QUESO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,0.75
AVOCADO - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,1.50
FOUNTAIN DRINK - SMALL,TACOS EL GRULLO,"VISALIA, CA",,1.50
FOUNTAIN DRINK - MEDIUM,TACOS EL GRULLO,"VISALIA, CA",,1.80
FOUNTAIN DRINK - LARGE,TACOS EL GRULLO,"VISALIA, CA",,2.80
JARRITOS - REGULAR,TACOS EL GRULLO,"VISALIA, CA",,3.00
AGUAS FRESCAS - SMALL,TACOS EL GRULLO,"VISALIA, CA",,2.00
AGUAS FRESCAS - MEDIUM,TACOS EL GRULLO,"VISALIA, CA",,2.50
AGUAS FRESCAS - LARGE,TACOS EL GRULLO,"VISALIA, CA",,3.25
