name,restaurant_name,identifier,calories,price_usd
18. GRILLED CHICKEN CAESAR SALAD - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.95
19. GARDEN SALAD - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.45
20. GREEK SALAD - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.95
1. BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.25
2. CHEESE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.75
3. MUSHROOM CHEESE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
4. JALAPEÑO CHEESE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
5. OLIVE CHEESE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
7. VEGGIE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.25
6. DOUBLE CHEESE BURGER - REGULAR,TACOS MEXICO,"NORWALK, CT",,7.95
12. PHILLY CHEESESTEAK SANDWICH - REGULAR,TACOS MEXICO,"NORWALK, CT",,7.45
13. GYRO ON PITA - REGULAR,TACOS MEXICO,"NORWALK, CT",,7.45
14. TURKISH DONER CHICKEN SHAWARMA - REGULAR,TACOS MEXICO,"NORWALK, CT",,7.45
15. CHICKEN WRAP - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.95
16. VEGGIE WRAP - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.95
17. CHICKEN CAESAR WRAP - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.95
8. LEMON CHICKEN - REGULAR,TACOS MEXICO,"NORWALK, CT",,5.25
9. OLIVE CHICKEN - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
10. MUSHROOM CHICKEN - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
11. CHICKEN JALAPEÑO - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
CHICKEN NUGGETS - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
CHICKEN STRIPS - REGULAR,TACOS MEXICO,"NORWALK, CT",,6.45
GRILLED CHEESE - REGULAR,TACOS MEXICO,"NORWALK, CT",,3.75
FRENCH FRIES - REGULAR,TACOS MEXICO,"NORWALK, CT",,2.25
FAMILY FRIES - REGULAR,TACOS MEXICO,"NORWALK, CT",,4.95
ONION RINGS - REGULAR,TACOS MEXICO,"NORWALK, CT",,2.95
SWEET POTATO FRIES - REGULAR,TACOS MEXICO,"NORWALK, CT",,3.25
SIDE SALAD - REGULAR,TACOS MEXICO,"NORWALK, CT",,2.85
POTATO CHIPS - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.25
CHEESE FRIES - REGULAR,TACOS MEXICO,"NORWALK, CT",,3.95
TATER TOTS - REGULAR,TACOS MEXICO,"NORWALK, CT",,2.15
JALAPEÑOS - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
CHEDDAR CHEESE - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
SAUTEED MUSHROOMS - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
FETA CHEESE - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
AVOCADO - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.00
GLUTEN-FREE BUN - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
BEEF BACON - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.00
OLIVES - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.50
FRIED EGG - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.00
ADDITIONAL DRESSING - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.25
SAUTEED ONION - REGULAR,TACOS MEXICO,"NORWALK, CT",,0.25
MILKSHAKES - REGULAR,TACOS MEXICO,"NORWALK, CT",,2.45
SOFT DRINK - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.85
BOTTLED DRINKS - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.85
BOTTLED WATER - REGULAR,TACOS MEXICO,"NORWALK, CT",,1.25
