name,restaurant_name,identifier,calories,price_usd
MATCHA COFFEE - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
MATCHA COFFEE - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
HOUSE SPECIAL COFFEE - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.25
HOUSE SPECIAL COFFEE - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.00
VIETNAMESE BLACK ICED COFFEE - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.00
VIETNAMESE ICED COFFEE - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.25
VIETNAMESE ICED COFFEE - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.00
WINTER MELON GREEN MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
WINTER MELON GREEN MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
WINTER MELON MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
WINTER MELON MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
WINTER MELON CHEESE FOAM - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.25
WINTER MELON CHEESE FOAM - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.00
MATCHA THAI TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
MATCHA THAI TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
CLASSIC MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
CLASSIC MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
GOLDEN MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
GOLDEN MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
JASMINE GREEN MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
JASMINE GREEN MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
MATCHA MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
MATCHA MILK TEA - 32OZ,TASTEA,"ROWLAND HEIGHTS, CA",,6.50
THAI MILK TEA - 20OZ,TASTEA,"ROWLAND HEIGHTS, CA",,4.75
