name,restaurant_name,identifier,calories,price_usd
FIRENZE - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
BOLOGNA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
VENEZIA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
LA ESQUINA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
MILANO - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
TORINO - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
CAPRI - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
CUNEO - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.99
BRESAOLA SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,13.50
CAESAR SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,8.90
CAPRESE SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.90
GREEK SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.90
QUINOA SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,10.90
SPINACH SALAD - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,11.90
"QUATTRO STAGIONI - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"BUFALA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"STRACIATELLA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,18.50
"FOCACCIA FANTASIA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,18.50
FOCACCIA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,5.00
"PRIMAVERA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,13.50
"DIAVOLA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,12.50
"FUNGHI - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,12.50
"MARGHERITA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,9.50
"MARINARA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,9.50
"PARMA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"MEAT LOVE - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"BISMARCK - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,14.50
"ROMANA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,12.50
"TARTUFO - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"TONNO E CIPOLLA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"VEGETALE - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
"STARS PIZZA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,15.50
"HAWAIIAN PIZZA - 13""",THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,15.50
BASILICO PIZZA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
INVOLTINO - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
INVOLTINO PRIMAVERA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
BRESAOLA PIZZA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
PIZZA REGINA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
CALZONE NAPOLI - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
CALZONE VESUVIO - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,16.50
CANNOLI ALLA CREMA CON NUTELLA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,5.99
CROSTATA DELLA CASA - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,5.99
PANNE COTTE - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,5.99
TIRAMISU - REGULAR,THE BLUE NOTE GRILL,"CHOWNOW, DURHAM, NC",,5.99
