name,restaurant_name,identifier,calories,price_usd
CHEF'S FRIED RICE - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
DRUNKEN NOODLES - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
LAVA FRIED RICE - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
PAD SEE EEW NOODLES - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
PAD THAI NOODLES - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
PAD PHED PHA - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
CHICKEN VOLCANO - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,14.95
CASHEW NUTS - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
CHEF'S GARDEN - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
GARLIC LOVER - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
GINGER DELIGHT - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
KRA POW - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
PAD PRIK KING - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
PHRA RAM - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
SWEET & SOUR SAUCE - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
AGE TOFU - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,5.25
BANGKOK SHRIMP (6) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.50
CHICKEN NUGGETS (8) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
CHICKEN QUESADILLA - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
CHICKEN SATAY (4) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,7.95
CHICKEN TEMPURA (3) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,7.95
CHICKEN WINGS - 6 WINGS,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,5.95
CHICKEN WINGS - 12 WINGS,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,10.95
CHIPS & SALSA - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,3.75
COCONUT SHRIMP (6) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,7.95
EDAMAME - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,4.50
FRIED CALAMARI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
FRIED MOZZARELLA (6) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
GYOZA (6) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,5.95
HAMACHI KAMA - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,14.55
HARU MAKI (3) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,5.25
KRAB RANGOON - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
MUSHROOMS (12) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
ONION RINGS (10) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,4.95
SHRIMP TEMPURA (4) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,8.95
STEAMED DUMPLINGS (4) - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
VEGETABLE TEMPURA - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,5.95
CHICKEN TERIYAKI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,14.95
SALMON TERIYAKI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,16.95
SEAFOOD TERIYAKI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,18.95
SHRIMP TERIYAKI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,16.95
STEAK TERIYAKI - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,16.95
CHEESEBURGER - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
CHICKEN NUGGETS - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
GRILLED CHEESE SANDWICH - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
HOT DOG - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,6.95
CAESAR SALAD - REGULAR,THE CHEF THAI SUSHI BAR & GRILL,"PORT CHARLOTTE, FL",,4.95
