name,restaurant_name,identifier,calories,price_usd
FRIED BRUSSELS SPROUTS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
LOUISVILLE POUTINE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,10.00
FRIED PICKLE SLIVERS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
SIDE FRIES - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,5.00
DEVILED EGGS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
SPICY SPINACH & ARTICHOKE DIP - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,10.00
SMOKED CHILI RUBBED CHICKEN WINGS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
BABY LETTUCES SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,9.00
ITALIAN CHOPPED SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
CRISPY CALAMARI SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
ROASTED ROOT VEGGIE SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
BIBB SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
SOUP OF THE DAY - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,6.00
SOUP OF THE DAY - LARGE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,10.00
JICAMA-MIXED BERRY SALAD - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,16.00
1/2 POUND BEEF BURGER - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
QUINOA & BLACK BEAN BURGER - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,13.00
FRIED CHICKEN SANDWICH - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
GUINNESS BRAISED REUBEN - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
MAC & CHEESE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,17.00
SPICY THAI SHRIMP SPAGHETTI - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,19.00
JIM'S MEATBALLS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,16.00
ITALIAN SAUSAGE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,17.00
ITALIAN SAUSAGE & SHRIMP - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,26.00
LUNCH JIM'S MEATBALLS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
LUNCH SPICY THAI SHRIMP SPAGHETTI - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,14.00
SHRIMP & GRITS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,21.00
FLAP STEAK - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,28.00
BISON SOUTHWEST MEATLOAF - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,22.00
BBQ BRISKET - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,22.00
GRILLED TROUT - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,28.00
SMOKED CORNISH GAME HEN - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,28.00
FRIED CHICKEN - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,26.00
KID'S MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
PARTY PLATTERS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,0.00
COCKTAILS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,30.00
JIM'S MEATBALLS FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
MAC & CHEESE FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
BLACKENED SHRIMP FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
1/4 POUND BURGER FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,50.00
THAI SHRIMP SPAGHETTI FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,48.00
GUINNESS BRAISED REUBEN FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
SAUTEED TEMPEH FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
BISON SOUTHWEST MEATLOAF FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
BBQ BRISKET FAMILY MEAL - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
BEIGNETS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
NAKED CHEESECAKE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
ESPRESSO MARTINI - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
SHOT TO THE HEART - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,12.00
STEM CIDER - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
TECATE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,4.00
PBR - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,3.00
PACIFICO - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,5.00
HOLIDAILY GF 'FAVORITE' BLONDE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
LEFT HAND MILK STOUT NITRO - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,6.00
DUCHESSE DE BOURGOGNE - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,13.00
4 NOSES IPA - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,8.00
GUINNESS - REGULAR,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,6.00
YALUPA BUBBLES - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,36.00
BIUTIFUL ROSE CAVA - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,32.00
RONCHI DI PIETRO PINOT GRIGIO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
MATUA SAUVIGNON BLANC - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,32.00
HUGEL GENTIL WHITE BLEND - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,36.00
ELIZABETH ROSE CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,44.00
ELOUAN ROSE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,48.00
JIGAR PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,56.00
CATENA MALBEC - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,36.00
BONESHAKER ZINFANDEL - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,36.00
LAN TEMPRANILLO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,56.00
POGGERINO CHIANTI CLASSICO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,52.00
DANCING CROW CAB SAUVIGNON - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,56.00
NV 1/2 VOLLEREAUX CHAMPAGNE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,42.00
NV ALBRECHT PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
NV GRUET BRUT - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,48.00
NV GH MUMM CHAMPAGNE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,95.00
AH-SO WINE COMBO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,27.00
AH-SO BUBBLES - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,9.00
'18 LEITZ DRAGONSTONE RIESLING - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,42.00
'17 PINON SILEX NOIR CHENIN BLANC VOUVRAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'18 LA VAL ALBARINO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,34.00
'17 EMILE BEYER PINOT GRIS - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,52.00
'16 GRIMALDI SAUVIGNON BLANC - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,38.00
'18 DOM FERNAND GIRARD SANCERRE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'18 DOM VACHERON SANCERRE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,68.00
'18 CAKEBREAD SAUVIGNON BLANC - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,66.00
'17 LIOCO CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,54.00
'16 DROUHIN-VAUDON CHABLIS - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,65.00
'17 DUMOL WESTER RANCH CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,100.00
'16 FERRARI CARANO TRES TERRE CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,40.00
'16 DIERBERG CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,65.00
'18 ROMBAUER CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,68.00
'18 1/2 ROMBAUER CHARDONNAY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,34.00
'18 CHATEAU MINUTY - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
'17 DOMAINE DES BAGUIERS BANDOL ROSE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'18 BONNY DOON VIN GRIS ROSE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,39.00
AH-SO WINE COMBO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,27.00
AH-SO WHITE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,9.00
AH-SO ROSE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,9.00
'17 AZIENDA AGRICOLA BOASSO BARBERA - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,45.00
'14 BECKER FAMILY PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,54.00
'15 DOM SCHLUMBERGER PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'16 DOMAINE JEAN TARDY PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,81.00
'17 BENNETT VALLEY PINOT NOIR - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,72.00
'15 VILLA SPINOSA VALPOLICELLA - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,54.00
'16 PERRON VINSOBRES RED BLEND - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,42.00
'16 HALTER RANCH RED BLEND - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,66.00
AH-SO WINE COMBO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,27.00
'14 CHATEAU REDORTIER GIGONDAS - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,70.00
'17 AVIADORES DEL FERRUNO JOVIN TEMPRANILLO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,32.00
'15 FAZENDA PRADIO MENCIA - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,42.00
'12 VINA OTANO TEMPRANILLO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,48.00
'16 PETIT PISSARRES PRIORAT - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,64.00
'16 TURLEY ZINFANDEL - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,54.00
'15 CAMPO BURI CARMENERE - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'16 HORMIGAS MALBEC - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,44.00
'13 FANETTI VINO NOBILE MONTEPULCIANO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,60.00
'15 M. MOLINO BAROLO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,108.00
'14 MARQUES DE CACERAS TEMPRANILLO - BOTTLE,THE EMPIRE LOUNGE AND RESTAURANT,"LOUISVILLE, CO",,48.00
