name,restaurant_name,identifier,calories,price_usd
TOFU ISLAND - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,9.95
TERIYAKI MEATBALL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,8.95
FUSION APPETIZER TRAY - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
CHICKEN EGG ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,4.95
NONG TONG WING - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,9.95
GYOZA - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
CRAB RANGOON - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
SPRING ROLL (2) - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,4.95
EGG DROP SOUP - CUP,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,2.95
EGG DROP SOUP - BOWL,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
EGG DROP SOUP - QUART,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,10.95
WONTON SOUP - CUP,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,2.95
WONTON SOUP - BOWL,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
WONTON SOUP - QUART,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,10.95
TOM YUM SOUP - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,10.95
TOM KA SOUP - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,10.95
HOT N SOUR SOUP - CUP,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,2.95
HOT N SOUR SOUP - BOWL,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
HOT N SOUR SOUP - QUART,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,10.95
CALIFORNIA ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,8.95
MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,9.95
RED DRAGON ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,13.95
SASHIMI - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,4.95
SUSHI - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
VEGGIE MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,7.95
UNCLE VA'S VOLCANO ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,12.95
TIGER MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,12.95
GEISHA MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
TEMPURA MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,12.95
LITTLE TOKYO COMBO PLATE - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,25.95
TOBIKO ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,12.95
BIG TOKYO COMBO PLATE - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,39.95
JADE MAKI ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,15.95
HAND ROLL FLIGHT - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,19.95
RAINBOW ROLL - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,13.95
"CROUCHING TIGER, HIDDEN DRAGON - REGULAR",THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,23.95
STEAMED BBQ BUNS - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,6.95
MARSALA MUSSELS - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
IMPERIAL FISH TACOS - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,8.95
SZECHUAN CALAMARI - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,11.95
PEANUT NOODLES - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,8.95
EDAMAME - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,4.95
SEAWEED SALAD - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
GARLIC STRING BEAN - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,5.95
BLUE GREEN CURRY - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
CASHEW & ALMOND - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
HEALTHY WHITE VELOUTE - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
FRIED RICE - REGULAR,THE FUSION RESTAURANT,"CHOWNOW, FRANKFORT, MI",,14.95
