name,restaurant_name,identifier,calories,price_usd
FAMOUS BAKED FRENCH ONION - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,8.00
HOUSEMADE CHILI - CUP,THE HILLTOP,"CHOWNOW, EDINA, MN",,4.00
HOUSEMADE CHILI - BOWL,THE HILLTOP,"CHOWNOW, EDINA, MN",,6.00
HOUSEMADE VEGETABLE - CUP,THE HILLTOP,"CHOWNOW, EDINA, MN",,4.00
HOUSEMADE VEGETABLE - BOWL,THE HILLTOP,"CHOWNOW, EDINA, MN",,6.00
SOUP OF THE DAY - CUP,THE HILLTOP,"CHOWNOW, EDINA, MN",,4.00
SOUP OF THE DAY - BOWL,THE HILLTOP,"CHOWNOW, EDINA, MN",,6.00
ASIAN CHICKEN SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,14.00
CHICKEN CHOP SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,14.00
GREEK SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.50
PEAR ALMOND SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,14.00
ROASTED BEET SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
WEDGE SALAD - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
CHICKEN CIABATTA - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
CUBAN - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,13.00
FRENCH DIP - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,13.00
HORSIN' AROUND - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
NEWBERRY - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
REUBEN - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
STEAK SANDWICH - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,15.00
TUNA MELT - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
WARREN BURGER - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,13.00
BUILD YOUR OWN BURGER - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
ASIAN SHRIMP WRAP - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,13.00
BUFFALO CHICKEN WRAP - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,11.00
CHICKEN CAESAR WRAP - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,11.00
AHI TUNA POKE BOWL - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,16.00
8OZ. GRILLED SIRLOIN - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,24.00
BABY BACK RIBS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,19.00
BRAISED SHORT RIB - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,19.00
FAJITAS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,16.00
GRILLED SALMON - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,23.00
HORSERADISH SALMON - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,23.00
PAN-FRIED WALLEYE - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,23.00
SHRIMP CURRY - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,19.00
PAN FRIED WALLEYE - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,23.00
AHI TUNA CRISPS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,11.00
CHICKEN AVOCADO QUESADILLA - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,12.00
CHICKEN WINGS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,13.00
ONION RINGS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,7.00
PORK SLIDERS - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,9.00
SWEET POTATO FRIES - REGULAR,THE HILLTOP,"CHOWNOW, EDINA, MN",,7.00
