name,restaurant_name,identifier,calories,price_usd
FRIED SHRIMP BASKET (6) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,8.00
CHICKEN TENDER BASKET (3) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,7.00
FRIED FISH BASKET (3) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,8.00
FRIED CALAMARI BASKET (10) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,8.00
FRIED OYSTER BASKET (7) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,8.50
CHICKEN WING BASKET (6) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,7.50
CHEESECAKE - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,4.99
FUNNEL CAKE STICKS - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,4.00
CHICKEN WINGS - 6 WINGS,THE JUICY CRAB,"JACKSONVILLE, FL",,5.50
CHICKEN WINGS - 12 WINGS,THE JUICY CRAB,"JACKSONVILLE, FL",,10.00
FRIED CALAMARI (15) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,7.95
FRIED CHEESESTICK (6) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,5.75
HUSH PUPPIES (10) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,3.75
ONION RINGS - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,5.75
STEAMED OYSTERS - 6 OYSTERS,THE JUICY CRAB,"JACKSONVILLE, FL",,10.00
STEAMED OYSTERS - 12 OYSTERS,THE JUICY CRAB,"JACKSONVILLE, FL",,18.00
BLACK MUSSELS - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,12.00
CLAMS - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,12.00
CRAWFISH - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,11.00
LOBSTER TAIL - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,15.00
SHRIMP (HEAD ON) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,15.00
SHRIMP (NO HEAD) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,18.00
SNOW CRAB LEGS - PER LB.,THE JUICY CRAB,"JACKSONVILLE, FL",,29.00
GREEN MUSSELS - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,13.00
BOILED EGGS (2) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,1.75
CAJUN FRIES - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,4.00
CORN ON THE COB (3) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,2.75
EXTRA SAUCE - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,1.00
FRENCH FRIES - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,4.00
POTATO (3) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,2.25
SAUSAGE - 1/2 LB.,THE JUICY CRAB,"JACKSONVILLE, FL",,4.00
SAUSAGE - 1 LB.,THE JUICY CRAB,"JACKSONVILLE, FL",,8.00
STEAMED RICE - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,2.00
SWEET POTATO FRIES - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,5.00
SIDES COMBO - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,0.00
CHICKEN TENDER BASKET (4) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,10.00
FRIED CATFISH BASKET (4) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,11.00
FRIED HALF COMBO - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,0.00
FRIED OYSTER BASKET (10) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,12.00
FRIED SHRIMP BASKET (8) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,11.00
FRIED TILAPIA BASKET (4) - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,11.00
SEAFOOD COMBO - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,0.00
WEEKEND DAILY SPECIAL - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,34.99
LOW COUNTRY SPECIAL - REGULAR,THE JUICY CRAB,"JACKSONVILLE, FL",,25.99
