name,restaurant_name,identifier,calories,price_usd
FRIED CHICKEN - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.25
EGG ROLLS - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,2.60
POT STICKERS - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,7.15
CHEESE WONTONS - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,7.15
EGG FLOWER SOUP - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,11.05
HOT & SOUR SOUP - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,11.05
WONTON SOUP - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,11.05
SHRIMP & VEGETABLE SOUP - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,12.98
VEGETABLE SOUP - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,10.40
COMBO A - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,9.45
COMBO B - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,11.05
HOUSE SPECIAL FRIED RICE - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,14.28
CHOW MEIN - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,12.98
SHRIMP CHOP SUEY - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,12.98
SHRIMP WITH LOBSTER SAUCE - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,12.98
FRIED RICE - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,12.98
FOUNTAIN DRINK - SMALL,THE KOI,"CHOWNOW, TACOMA, WA",,1.25
FOUNTAIN DRINK - MEDIUM,THE KOI,"CHOWNOW, TACOMA, WA",,1.50
FOUNTAIN DRINK - LARGE,THE KOI,"CHOWNOW, TACOMA, WA",,1.95
FOUNTAIN DRINK - X LARGE,THE KOI,"CHOWNOW, TACOMA, WA",,2.60
BOBA THAI TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
BOBA MILK TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
BOBA GREEN TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
BOBA ICED COFFEE - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
COCONUT BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
HONEYDEW BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
LYCHEE BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
MANGO BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
PEACH BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
PINEAPPLE BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
STRAWBERRY BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
TAR0 BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
WATERMELON BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
CHOCOLATE BOBA TEA - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,4.00
THAI TEA FLOAT - REGULAR,THE KOI,"CHOWNOW, TACOMA, WA",,6.00
