name,restaurant_name,identifier,calories,price_usd
10 PACK - 10 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,20.00
BLUE LADY YUM 10 PACK - 10 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,20.00
15 PACK - 15 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,30.00
25 PACK - 25 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,50.00
10 PACK - SEASONAL ASSORTMENT - 10 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,20.00
15 PACK - SEASONAL ASSORTMENT - 15 PACK,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,30.00
SALTED CARAMEL - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
TOASTED COCONUT - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
LEMON - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
RASPBERRY CHARDONNAY - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
S'MORES - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
CHOCOLATE MINT - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
VANILLA - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
WILD STRAWBERRY - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
OATMEAL COOKIE - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
TOFFEE - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
CHOCOLATE - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
SHINDIG - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
HONEY LAVENDER - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
ESPRESSO FUDGE - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
UNICORN - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
PASSIONFRUIT (WINTER FLAVOR) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
AMARENA CHERRY DARK CHOCOLATE (WINTER FLAVOR) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
SUGAR COOKIE (WINTER FLAVOR) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
IRISH COFFEE (MARCH FLAVOR) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
SALTED HONEYCOMB (MARCH FLAVOR) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,2.50
30 PIECE TOWER - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,80.00
45 PIECE TOWER (24 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,122.50
65 PIECE TOWER (24 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,177.50
90 PIECE TOWER (48 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,245.00
120 PIECE TOWER (48 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,325.00
140 PIECE TOWER (48 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,380.00
170 PIECE TOWER (48 HRS NOTICE) - REGULAR,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,455.50
1 PIECE MACARON BOXES (10 BOX ORDER MINIMUM- 48 HRS NOTICE) - 1 PIECE BOX,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,3.50
2 PIECE MACARON BOX (10 BOX ORDER MINIMUM- 48HRS NOTICE) - 2 PIECE BOX,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,6.00
CHAMPAGNE - MONTMARTE BRUT - BOTTLE,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,26.00
CHAMPAGNE - MOET BRUT 187ML - 187ML,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,18.00
CHAMPAGNE - NICHOLAS FEUILLATTE BRUT 187ML - 187ML,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,18.00
PROSECCO - LA MARCA 187ML - 187ML,THE LEMONGRASS RESTAURANT,"CHOWNOW, RENTON, WA",,8.00
