name,restaurant_name,identifier,calories,price_usd
CAESAR SALAD - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,6.74
GREEK SALAD - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,6.74
TABOULEH SALAD - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,6.49
CHICKEN SALAD - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,9.24
CHICKEN SALAD - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,12.24
CHICKEN SALAD - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,15.24
COMBO SALAD - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,10.24
COMBO SALAD - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,13.24
COMBO SALAD - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,16.24
LAMB SALAD - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,9.24
LAMB SALAD - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,12.24
LAMB SALAD - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,15.24
STEAK SALAD - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,9.24
STEAK SALAD - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,12.24
STEAK SALAD - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,15.24
CHICKEN KABOB PLATE - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,11.99
COMBO KEBAB PLATE - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,13.99
KEFTA KABOB PLATE - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,12.99
LAMB KABOB PLATE - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,14.99
THREE COMBO KABOB PLATE - REGULAR,THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,15.99
CHICKEN GARLIC WRAPS - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,8.74
CHICKEN GARLIC WRAPS - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,11.74
CHICKEN GARLIC WRAPS - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,14.74
CHICKEN WRAPS - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,7.99
CHICKEN WRAPS - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,10.99
CHICKEN WRAPS - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,13.99
COMBO WRAPS - HOUSE (4OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,8.99
COMBO WRAPS - REGULAR (6OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,10.99
COMBO WRAPS - LARGE (8OZ),THE MIDWAY PUB,"CHOWNOW, ATLANTA, GA",,13.99
