name,restaurant_name,identifier,calories,price_usd
PAN FRIED DUMPLINGS (V) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,4.50
HARVEST BOWL - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,10.50
BUILD YOUR OWN - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,9.00
VIETNAMESE STREET TACOS (V) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,8.00
VEGAN CHICKEN LETTUCE - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,7.50
SEAWEED SALAD - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,4.50
HOUSE SALAD - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.00
KIM CHI FRIES (V) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,7.50
SPRING ROLLS (V) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.50
PHO CHAY - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,9.50
"BE EM'S DAC BIET | FILET, MEATBALLS & BEEF BRISKET - REGULAR",THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,13.50
PHO GA | CHICKEN BREAST - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,10.90
PHO TAI BO VIEN | FILET & MEATBALLS - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,11.90
PHO TAI DUOI BO | OXTAIL & FILET - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,14.50
PHO TAI NAM | BEEF BRISKET & FILET - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,11.90
PHO TAI SUON BO | SHORT RIBS & FILET - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,15.50
PHO CHAY | TOFU AND VEGGIES WITH DAIKON BROTH (VEGETARIAN) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,10.50
PAN FRIED DUMPLINGS (4) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,4.50
SHRIMP SHUMAI (4) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,5.00
CRISPY WONTON BITES (6) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.50
BE EM'S SPRING ROLLS (2) - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.50
ONION SOUP - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,2.00
MISO SOUP - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.00
TEMPURA UDON SOUP - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,8.00
SEAWEED SALAD - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,4.50
HOUSE SALAD - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,3.00
FIRECRACKER SHRIMP - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,9.00
SESAME AHI TUNA NACHOS - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,9.00
CHICKEN LETTUCE WRAPS - REGULAR,THE RUSTY ONION PIZZERIA & POURHOUSE,"CHOWNOW, CHAROTTE, NC",,8.50
