name,restaurant_name,identifier,calories,price_usd
SUPER BOWL NACHOS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
ROLLIE FINGERS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
BASES LOADED FRIES - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.50
RED SKINS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,7.95
ORIOLES ONION RINGS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,6.25
CHILI CON QUESO - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,7.95
SPORTS PAGE SAMPLER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,14.95
EXTREME WINGS - 10 WINGS,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,12.75
EXTREME WINGS - 20 WINGS,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,21.75
SHRIMP AND CRAB DIP - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
FRENCH ONION BOWL - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,4.50
POTATO CHOWDER - CUP,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
POTATO CHOWDER - BOWL,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,3.95
TRAILBLAZERS CHILI - CUP,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
TRAILBLAZERS CHILI - BOWL,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,3.95
THE MATSUI ASIAN SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
THE MADISON SQUARE GARDEN SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
SEMINOLES CHEF SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
CHICKEN CAESAR 'CHAVEZ' SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
CAESAR 'CHAVEZ' SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,4.95
SAN DIEGO CHICKEN SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.75
PHILLIES CHEESESTEAK SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
CANADIANS CORDON BLEU SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,9.45
BUFFALO CHICKEN SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
BOURBON STREET CHICKEN SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,9.45
BASES LOADED BLT SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,7.95
TRIPLE PLAY CLUB SANDWICH - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
FIGHTING IRISH REUBEN - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,9.50
BLT DOG - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,6.25
DR. FRANKENPUFFS DOG - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,6.25
CONEY ISLAND DOG - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,6.25
UMPIRE DOG - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,6.25
BILLY BURGER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,10.95
BACON CON QUESO BURGER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,10.95
FAST BREAK BURGER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,10.95
CAROLINA BLUE BURGER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,8.95
BIG LEAGUE BURGER - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,10.95
FEATURED VEGETABLE - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
BACON-POTATO SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
CHIPPERS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
COLESLAW - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
SIMPLE GARDEN SALAD - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
FRENCH FRIES - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
SOUP OF THE DAY - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,1.50
ONION RINGS - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
MASHED POTATOES - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,2.95
 INCH THE MICKEY INCH  - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,5.25
 INCH THE LITTLE ROLLIE INCH  - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,5.25
 INCH THE YOGI BERRA SANDWICH INCH  - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,4.75
“THE BABE” - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,4.25
GRAND SLAM CHICKEN - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,13.95
QUICK FIRE SALMON SALMON - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,14.95
STEAK SPECIAL MONTHLY STEAK SPECIAL - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,17.95
HOME PLATE MEATLOAF - REGULAR,THE SPORTS PAGE,"CHOWNOW, KNIGHTDALE, NC",,10.95
