name,restaurant_name,identifier,calories,price_usd
CLASSIC BONE-IN WINGS - 1/2 POUND (4-5 WINGS) - 1/2 POUND (4-5 WINGS),THE WING HUT,"AURORA, CO",,5.75
CLASSIC BONE-IN WINGS - FULL POUND (7-10 WINGS) - FULL POUND (7-10 WINGS),THE WING HUT,"AURORA, CO",,11.00
BONELESS BITES - SMALL - SMALL (APPROX 8PC),THE WING HUT,"AURORA, CO",,6.50
BONELESS BITES - LARGE (APPROX 16) - LARGE (APPROX 16PC),THE WING HUT,"AURORA, CO",,12.00
CHICKEN STRIPS (1 PIECE) - 1 PIECE,THE WING HUT,"AURORA, CO",,2.50
CHICKEN STRIPS (6 PIECE) - 6 PIECES,THE WING HUT,"AURORA, CO",,14.00
CURLY FRIES - SMALL,THE WING HUT,"AURORA, CO",,2.75
CURLY FRIES - MEDIUM,THE WING HUT,"AURORA, CO",,4.00
CURLY FRIES - BIG BAG,THE WING HUT,"AURORA, CO",,6.50
STRAIGHT FRIES - SMALL,THE WING HUT,"AURORA, CO",,2.75
STRAIGHT FRIES - MEDIUM,THE WING HUT,"AURORA, CO",,4.00
STRAIGHT FRIES - BIG BAG,THE WING HUT,"AURORA, CO",,6.50
SWEET POTATO FRIES - SMALL,THE WING HUT,"AURORA, CO",,3.00
SWEET POTATO FRIES - MEDIUM,THE WING HUT,"AURORA, CO",,4.50
SWEET POTATO FRIES - BIG BAG,THE WING HUT,"AURORA, CO",,7.00
CRISPY ONION RINGS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
MAC & CHEESE BITES - REGULAR,THE WING HUT,"AURORA, CO",,5.50
PICKLE CHIPS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
JALAPENO POPPERS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
FRIED ZUCCHINI - REGULAR,THE WING HUT,"AURORA, CO",,5.50
CORN FRITTERS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
BATTERED MUSHROOMS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
MOZZARELLA STICKS - REGULAR,THE WING HUT,"AURORA, CO",,5.50
CAJUN SLAW - REGULAR,THE WING HUT,"AURORA, CO",,4.00
HUSHPUPPIES - REGULAR,THE WING HUT,"AURORA, CO",,3.50
DRESSING | RANCH - SMALL (2OZ),THE WING HUT,"AURORA, CO",,0.50
DRESSING | RANCH - LARGE (4OZ),THE WING HUT,"AURORA, CO",,1.00
DRESSING | RANCH - CUP (8OZ),THE WING HUT,"AURORA, CO",,2.00
DRESSING | RANCH - PINT (16OZ),THE WING HUT,"AURORA, CO",,4.00
DRESSING | RANCH - QUART (32OZ),THE WING HUT,"AURORA, CO",,8.00
DRESSING | BLUE CHEESE - SMALL (2OZ),THE WING HUT,"AURORA, CO",,0.50
DRESSING | BLUE CHEESE - LARGE (4OZ),THE WING HUT,"AURORA, CO",,1.00
DRESSING | BLUE CHEESE - CUP (8OZ),THE WING HUT,"AURORA, CO",,2.00
DRESSING | BLUE CHEESE - PINT (16OZ),THE WING HUT,"AURORA, CO",,4.00
