name,restaurant_name,identifier,calories,price_usd
GUACAMOLE - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,6.99
JALAPEÑOS CHEESE DIP - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,4.50
NACHOS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
CHORIZO FIREBALLS (7) - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
MOFONGITOS (3) - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
CALAMARI - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,10.99
JUMBO WINGS (6) - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
CHICHARRONES - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,6.99
QUESO FUNDIDO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.50
FLAUTAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.99
TORITO SAMPLER - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,10.99
BEEF SLIDERS (3) - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.50
CHORIZO SLIDERS (3) - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.50
CHILI - CUP,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,4.99
CHILI - BOWL,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
CHICKEN SOUP - CUP,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,4.99
CHICKEN SOUP - BOWL,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
POBLANO SOUP - CUP,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,4.99
POBLANO SOUP - BOWL,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
ROMAINE FIESTA SALAD - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.99
APPLE BACON SALAD - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.99
TACO SALAD - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,8.99
TORITO HOUSE SALAD - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,7.99
SHREDDED BEEF TOSTADAS DE PLATANO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
SHREDDED CHICKEN TOSTADAS DE PLATANO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
BARBACOA TOSTADAS DE PLATANO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
CARNITAS TOSTADAS DE PLATANO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
CHORIZO TOSTADAS DE PLATANO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
SHREDDED BEEF AREPITAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
SHREDDED CHICKEN AREPITAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
BARBACOA AREPITAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
CARNITAS AREPITAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
CHORIZO AREPITAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.99
ASADA | STEAK - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
POLLO | CHICKEN - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
LENGUA | BEEF TONGUE - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
CABESA | SHREDDED BEEF - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
CARNITAS | SHREDDED PORK - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
CHORIZO | MEXICAN SAUSAGE - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
AL PASTOR | MARINATED PORK - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
BARBACOA | SEASONED BEEF - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,3.50
COMBINATION OF ANY THREE - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,9.50
GRINGAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,4.50
FAIJTAS - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,14.99
FAJITAS DEL MAR - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,16.99
FAJITAS TIJUANA - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,16.99
THE TORITO PICADA - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,49.99
HAWAIIAN MOLCAJETES - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,18.99
TILAPIA - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,12.99
CALAMARI - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,12.99
SHRIMP - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,12.99
STEAK - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,12.99
BARBACOA ENTREE - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,12.99
SIRLOIN STEAK - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,14.99
MAR Y TIERRA - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,14.99
CARNE ASADA - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,13.99
THE MARIACHI TORITO - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,15.99
GRILLED KABOB - REGULAR,THE BOMBAY FRANKIE COMPANY,"WOODLAND HILLS, CA",,15.99
