name,restaurant_name,identifier,calories,price_usd
ACAI BOWL - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,5.00
ACAI BOWL - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,7.50
ACAI BOWL - 32 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,11.50
THE MONTAUK - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
THE MONTAUK - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
FIRE ISLAND SUNRISE - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
FIRE ISLAND SUNRISE - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
SUNSET CRUISE - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
SUNSET CRUISE - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
THE SHINNECOCK - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
THE SHINNECOCK - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
HOLY HAMPTONS - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
HOLY HAMPTONS - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
HIGH TIDE - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.14
HIGH TIDE - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,5.98
BUILD YOUR OWN OATMEAL - 8 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,4.50
BUILD YOUR OWN OATMEAL - 16 OZ,THE HERB BOX,"SCOTTSDALE, AZ",,6.50
