name,restaurant_name,identifier,calories,price_usd
GYOZA - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,7.55
CALAMARI - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,10.75
FRIED OYSTERS - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,10.75
CHIP & DIP - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,6.25
CHA-SHU STEAMED BUN - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,7.75
SHRIMP SHUMAI - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,8.95
EDAMAME - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,5.95
KARAAGE - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,9.95
SHRIMP KATSU - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,8.95
POTATO CROQUETTE - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,6.25
SPICY SQUID BALLS - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,8.55
TAKOYAKI - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,9.95
BACON WRAPPED ASPARAGUS - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,10.75
HOUSE SALAD - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,7.95
KIMCHEE - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,5.95
TONKOTSU SHIO RAMEN - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,13.75
TONKOTSU MISO RAMEN - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,14.95
CHAMPON SEAFOOD RAMEN - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,15.95
CURRY RAMEN - REGULAR,TOKYOYA,"CHOWNOW, FEDERAL WAY, WA",,14.55
