name,restaurant_name,identifier,calories,price_usd
GARLIC BREAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,4.25
GARLIC KNOTS WITH MOZZARELLA CHEESE - 6 PIECES,TOMATILLO TACO JOINT,"COS COB, CT",,3.75
GARLIC KNOTS WITH MOZZARELLA CHEESE - 12 PIECES,TOMATILLO TACO JOINT,"COS COB, CT",,5.75
GARLIC KNOTS - 6 PIECES,TOMATILLO TACO JOINT,"COS COB, CT",,2.95
GARLIC KNOTS - 12 PIECES,TOMATILLO TACO JOINT,"COS COB, CT",,4.75
SOUP OF THE DAY - BOWL,TOMATILLO TACO JOINT,"COS COB, CT",,4.95
 INCH BELT PARKWAY INCH  PIN WHEELS - EACH,TOMATILLO TACO JOINT,"COS COB, CT",,3.50
ZUCCHINI FRIES - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,5.50
MOZZARELLA STICKS (6) - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,6.50
 INCH BROOKLYN INCH  WINGS - 10 WINGS,TOMATILLO TACO JOINT,"COS COB, CT",,12.00
 INCH BROOKLYN INCH  WINGS - 20 WINGS,TOMATILLO TACO JOINT,"COS COB, CT",,22.00
 INCH BROOKLYN INCH  WINGS - 50 WINGS,TOMATILLO TACO JOINT,"COS COB, CT",,49.00
BRIOCHE CHICKEN SLIDERS (3) - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,7.25
DINNER SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,3.50
THE  INCH BROOKLYN BOTANICAL INCH  GARDEN SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,5.25
CAESAR SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,8.50
ANTIPASTO SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,9.75
GREEK SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,9.25
VENETIAN SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,8.25
SPINACH SALAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,9.25
BROOKLYN'S  INCH FAMOUS INCH  SAUSAGE BREAD - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,8.95
CHICKEN ROLL - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,8.95
SUPREME ROLL - REGULAR,TOMATILLO TACO JOINT,"COS COB, CT",,8.95
