name,restaurant_name,identifier,calories,price_usd
BAGEL - EACH,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,0.84
HALF DOZEN BAGELS (6) - HALF DOZEN,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.25
BAKER'S DOZEN BAGELS (13) - BAKER'S DOZEN,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,7.50
1/2 LB. SPREAD - 1/2 LB.,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,2.50
TWO EGGS ON A BAGEL - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,1.68
EGGS WITH CHEESE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,1.92
EGGS WITH CHEESE & CANADIAN BACON - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,2.34
EGGS WITH CHEESE & SAUSAGE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,2.80
BAGEL WITH PEANUT BUTTER - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,1.64
BAGEL WITH BUTTER OR MARGARINE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,1.17
BAGEL WITH JAM OR JELLY - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,1.17
GARDEN SALAD BAGEL WITH JARLSBERG CHEESE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,3.69
B.L.T. (ONLY) - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,3.69
EGG SALAD (LETTUCE & TOMATO) - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,3.69
WHITE TUNA SALAD - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
FRESH CHICKEN SALAD - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
SMOKED TURKEY - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
HONEY HAM - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
RARE ROAST BEEF - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
BLACK PASTRAMI - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
GENO SALAMI - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.44
NOVA LOX & CREAM CHEESE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.91
ROAST BEEF & SMOKED TURKEY - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.91
SMOKED TURKEY & GARLIC HERB CREAM CHEESE - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,4.91
GARDEN SALAD - REGULAR,TOMATOES APIZZA,"CHOWNOW, BIRMINGHAM, MI",,3.27
