name,restaurant_name,identifier,calories,price_usd
TONKOTSU - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,15.50
SHOYU - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,15.00
MISO - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,14.00
VEGETARIAN - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,14.00
SEAFOOD - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,17.00
DUCK - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,15.50
PORK BELLY BUN - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,10.00
SHRIMP BUN - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,10.00
BBQ BUN - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,9.00
GARLIC TERIYAKI WINGS - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,10.00
SPICY MISO WINGS - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,10.00
DUMPLINGS - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,9.00
KARAAGE - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,9.00
JFC & RAM'N CHEESE - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,12.00
RAM'N CHEESE BITES - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,7.00
CUCUMBER SALAD - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,7.00
WARM CAULIFLOWER SALAD - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,8.00
GOHAN BOWL - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,13.00
SPICY SALMON POKE BOWL - REGULAR,TONBO RAMEN,"CHOWNOW, RALEIGH, NC",,13.00
