name,restaurant_name,identifier,calories,price_usd
CHICKEN WINGS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.99
SZECHUAN GREEN BEANS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,10.99
"HOUSE-CUT FRIES, TATER TOTS OR HOUSE-MADE CHIPS - REGULAR",TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,9.49
QUESADILLA - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.49
STEAK KABOBS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.99
NACHOS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.99
ONION RINGS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,10.49
TST WINGS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.99
WILDCAT FRIES - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,10.99
PUB PRETZEL - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,10.99
JALAPENO POPPERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,11.99
WISCONSIN CHEESE CURDS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,11.49
DEEP FRIED PICKLES - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,9.99
HOUSE-MADE SOUPS - CUP,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,5.99
HOUSE-MADE SOUPS - BOWL,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,8.99
DINNER SALAD - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,9.49
BBQ CHICKEN CHOP - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.99
STEAK & BLEU WEDGE - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,16.99
CLASSIC CAESAR SALAD - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,11.49
COBB SALAD - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,15.99
WEDGE SIDE SALAD - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,10.49
THE ORIGINAL SLIDERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.49
DAGO SLIDERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.49
NASHVILLE HOT CHICKEN SLIDERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.49
MEMPHIS STYLE PULLED PORK SLIDERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.49
BUFFALO MAC & CHEESE - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,16.99
TOP SIRLOIN - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,21.49
COD FISH FRY - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,16.99
CHICKEN & BROCCOLI FETTUCCINI ALFREDO - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,16.99
PROSCIUTTO CARBONARA - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,17.99
TERIYAKI CHICKEN RICE BOWL - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,15.49
BLACKENED COD RICE BOWL - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,15.49
BULGOGI RICE BOWL - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,16.49
CHICKEN TENDERS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,14.99
SOUTHWEST RICE BOWL - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,15.49
TACOS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.99
SANTI'S STREET TACOS - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,13.99
JUICY LUCY BURGER - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,15.49
FULL SIZE BUFFALO CHICKEN FLATBREAD - REGULAR,TRAIL STOP TAVERN,"CHOWNOW, EAGAN, MN",,17.99
