name,restaurant_name,identifier,calories,price_usd
BROCCOLI BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
CASHEW CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.75
CHICKEN FRIED RICE - SPECIAL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
CHICKEN LO MEIN - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
CHINESE FESTIVAL - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
COMBINATION LO MEIN OR SHRIMP LO MEIN - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
EMPRESS CHICKEN - SPECIAL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
GARLIC CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.75
GENERAL TSO CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
HUNAN CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.75
HUNAN SHRIMP - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
JALAPENO BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
JALAPEÑO CHICKEN - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
KUNG PAO BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
KUNG PAO CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.75
MONGOLIAN BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
MONGOLIAN COMBO - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
ORANGE CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
PINEAPPLE CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
SESAME CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
SHRIMP FRIED RICE - SPECIAL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
SHRIMP WITH LOBSTER SAUCE - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
SWEET & SOUR CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
SWEET & SOUR PORK - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
TRIPLE DELIGHT - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,9.95
TWO DELIGHTS SPECIAL - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,8.95
100. JALAPENO CRAB RANGOON - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,6.50
101. EGG ROLLS (2) - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,3.15
102. CRAB RANGOON (4) - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,5.50
POTSTICKERS (8) - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,6.95
106. HOT & SOUR SOUP - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,4.00
106. HOT & SOUR SOUP - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,5.25
110. CHICKEN CORN SOUP - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,4.00
110. CHICKEN CORN SOUP - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,5.25
111. EGG DROP SOUP - SMALL,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,4.00
111. EGG DROP SOUP - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,5.25
SEAFOOD NOODLE SOUP - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.95
112. EMPRESS CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.95
113. SWEET & SOUR CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
114. GARLIC CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
115. KUNG BAO CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
116. CHICKEN WITH VEGETABLES - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
117. CHICKEN WITH SNOW PEA PODS - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
118. CASHEW OR ALMOND CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
119. HUNAN CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
120. YU HSIANG CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
121. SESAME OR ORANGE CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
122. LEMON CHICKEN OR PINEAPPLE CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.95
CASHEW CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
GENERAL TSO'S CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.95
HOT BRAISED CHICKEN - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.95
130. SWEET & SOUR PORK - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.00
131. YU HSIANG PORK - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.95
132. HOT BRAISED PORK - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
123. MONGOLIAN BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
124. BEEF WITH BROCCOLI - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
125. HUNAN BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
126. KUNG BAO BEEF - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
127. BEEF WITH SNOW PEAS PODS - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
128. PEPPER STEAK - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.00
142. SHRIMP WITH CASHEW NUTS - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.95
143. HUNAN SHRIMP - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.50
144. SHRIMP WITH VEGETABLES - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.50
145. KUNG BAO SHRIMP - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.95
146. SHRIMP WITH LOBSTER SAUCE - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.95
147. YU HSIANG SHRIMP - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.95
148. HAPPY FAMILY - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,13.95
134. MIXED VEGETABLES - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,10.75
136. WATER CHESTNUTS WITH SNOW PEAS - REGULAR,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,10.75
149. YOUNG CHOW FRIED RICE - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
150. SHRIMP FRIED RICE - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.00
151. CHICKEN OR PORK FRIED RICE - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,10.00
152. VEGETABLE FRIED RICE - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,10.00
BEEF FRIED RICE - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
137. YOUNG CHOW COMBO - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
138. WITH SHRIMP - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
139. WITH CHICKEN OR PORK - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,11.00
140. WITH VEGETABLES - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,10.00
BEEF LO MEIN - LARGE,TSING TSAO CHINESE FAST FOOD,"CHOWNOW, DES MOINES, IA",,12.00
