name,restaurant_name,identifier,calories,price_usd
CHICKEN SKEWERS (SATAY) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,10.00
VEGETARIAN SPRING ROLLS - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,9.50
APPETIZER PLATTER - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,16.00
DEEP-FRIED CALAMARI - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
(NEW!) BANGKOK CHICKEN ROLLS - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,10.00
DEEP-FRIED TOFU - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,9.00
CHICKEN POTSTICKERS - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,10.00
FRIED CHICKEN WINGS - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,8.95
CRAB RANGOON - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,10.00
SWEET POTATO FRIES - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,9.00
FRESH SUMMER ROLLS - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,9.00
LEMONGRASS CHICKEN SALAD - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
FRESH PAPAYA SALAD (SOM TUM) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
GREEN MIX SALAD - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,7.50
SPICY MINT BEEF SALAD (NAM TOK) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
LARB SALAD - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
HOT & SOUR SOUP (TOM YUM) - SMALL,TUK TUK THAI CAFE,"BERKELEY, CA",,8.00
HOT & SOUR SOUP (TOM YUM) - LARGE,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
COCONUT MILK SOUP (TOM KHA) - SMALL,TUK TUK THAI CAFE,"BERKELEY, CA",,9.00
COCONUT MILK SOUP (TOM KHA) - LARGE,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
WONTON SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
PAD PAK (VEGETABLES) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD KRA PRAO (SPICY BASIL) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD KRA TIEM (GARLIC PEPPER) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PRA RAM (PEANUT SAUCE) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD SHITAKE (HED J) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD HIMMAPAN (CASHEW NUT) - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
PAD BROCCOLI - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
RED CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
PANANG CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
PUMPKIN CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
YELLOW CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
GREEN CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
SIZZLING SPICY PLATTER - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
SIZZLING GINGER PLATTER - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
PINEAPPLE SOLE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,13.00
DUCK CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,16.00
EMERALD SALMON CURRY - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,18.50
PAD KHI MAO - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD SEE EW - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
THAI FRIED RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
PAD THAI - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
STIR FRIED SUKIYAKI - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,13.00
PINEAPPLE FRIED RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,13.00
CRAB MEAT FRIED RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
ROASTED DUCK OVER RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
FRIED CHICKEN WITH THAI FRIED RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
FRIED CHICKEN WITH CURRY RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
CHICKEN NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
SEAFOOD NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
SUKIYAKI NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
TOM YUM NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
COCONUT MILK NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,12.00
DUCK NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
BEEF NOODLE SOUP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,11.00
STEAMED RICE NOODLE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
PEANUT SAUCE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,4.25
STEAMED VEGETABLES - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,5.25
CUCUMBER SALAD - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,5.25
JASMINE RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.00
BROWN RICE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.50
THAI ICED COFFEE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
DIET COKE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
SPRITE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
THAI ICED TEA - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
COKE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
HOT JASMINE TEA - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
LIPTON ICED TEA - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
THAI LEMONADE TEA - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
LEMONADE - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,2.75
BARBEQUE PORK - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
NEW YORK STEAK - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,20.00
HONEY ROASTED DUCK - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,16.00
BARBEQUE CHICKEN - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,14.00
ICE CREAM SCOOP - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,4.25
SWEET STICKY RICE WITH ICE CREAM - REGULAR,TUK TUK THAI CAFE,"BERKELEY, CA",,6.00
