name,restaurant_name,identifier,calories,price_usd
THAI EGGROLLS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.95
FRIED TOFU - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
POTSTICKERS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
MONEY BAGS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
TUSK WRAPS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
SHRIMP ROLLS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
CRAB RANGOON - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
SPRING ROLLS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,4.95
CHICKEN SATAY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,6.95
SUMMER ROLLS - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,4.95
GYO - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
CALAMARI - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,5.95
TOM YUM - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.95
TOM KAR - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.95
DUMPLING SOUP - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.95
VEGETABLE FRIED RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
THAI FRIED RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
SPICY BASIL FRIED RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
PINEAPPLE FRIED RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
CURRY FRIED RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
PAD THAI - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
DRUNKEN NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
LAR NAR - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
PAD SEE EWE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
PAD WOON SEN - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
PEANUT NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
BASIL NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,10.95
BASIL STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
CASHEW STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
GINGER STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
CHICKEN SUP-PA-ROS STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
GREEN FIRE DISH - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
THAI FIRE DISH STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
FIVE STAR STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
LEMON GRASS STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
GARLIC & PEPPER - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
CHICKEN TERIYAKI STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
BEEF & BROCCOLI STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
CHICKEN PEANUT SAUCE STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
CASHEW STIR FRY (GLUTEN FREE) - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
SESAME CHICKEN STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
SWEET & SOUR CHICKEN STIR FRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
KOONG KRA TIEM - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
SEAFOOD COMBINATION - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
PAD PED CATFISH - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
SHRIMP CASSEROLE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
PAD PRIK KHING - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
GREEN CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
RED CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
YELLOW CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
PANANG CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
MUSSAMON CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
GREEN CURRY NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,11.95
PANANG NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,12.95
SHRIMP IN COCONUT CURRY - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,13.95
SAMSAHAI - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,14.95
SCALLOPS IN GARLIC SAUCE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,14.95
SAUCE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,0.50
CHILI PASTE - 2 OZ.,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,0.75
CHILI PASTE - 4 OZ.,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,1.50
PEANUT SAUCE - 2 OZ.,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,1.50
PEANUT SAUCE - 4 OZ.,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.00
RICE - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,1.00
STEAMED VEGETABLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.00
STEAMED RICE NOODLES - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,3.00
BEEF SALAD - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,9.95
LARB KAI - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,8.95
NAM SOD - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,8.95
YUM TOFU - REGULAR,TUSK THAI CUISINE,"CHOWNOW, BATAVIA, IL",,7.95
