name,restaurant_name,identifier,calories,price_usd
UCHEESEBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
BOOM BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.00
COWBOY BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,9.00
A+ BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
GRAND SLAM BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,9.25
ALL IN BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,9.50
BIG PAPI BURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.25
PLAIN CHEESEBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
PLAIN HAMBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.25
BUILD YOUR OWN - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
COOL CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
SWEET CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
HOT CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
GREEK CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
CLUB CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.50
PHAT CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.50
SMOKIN' CHICK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.50
KIDS CHEESEBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
KIDS CHICKEN BITES - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
KIDS GRILLED CHEESE SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
KIDS HOT DOG - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
KIDS HAMBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.75
HADDOCK SANDWICH - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.25
TURKEY UBURGER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.50
SWEET & SPICEY CHIPOTLE CHICKEN BITES - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.25
REGULAR CHICKEN BITES - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.25
HOUSE SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,7.50
UBURGER SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,11.00
GREEK SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.50
CAESAR SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,8.25
SPIRO SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,9.25
BABY SPINACH SALAD - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,9.25
'THE WORKS' DOG - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,4.75
GRILLED ALL BEEF HOTDOG - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,4.25
FRENCH FRIES - SMALL,UBURGER,"CHOWNOW, ANDOVER, MA",,3.95
FRENCH FRIES - LARGE,UBURGER,"CHOWNOW, ANDOVER, MA",,4.95
ONION RINGS - SMALL,UBURGER,"CHOWNOW, ANDOVER, MA",,4.50
ONION RINGS - LARGE,UBURGER,"CHOWNOW, ANDOVER, MA",,5.50
SWEET POTATO FRIES - SMALL,UBURGER,"CHOWNOW, ANDOVER, MA",,4.75
SWEET POTATO FRIES - LARGE,UBURGER,"CHOWNOW, ANDOVER, MA",,5.75
UFRAPPES - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,6.10
FOUNTAIN DRINKS - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,2.70
BOTTLED WATER - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,2.35
BOTTLED DRINKS - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,2.60
MEXICAN COKE - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,2.90
MEXICAN SPRITE - REGULAR,UBURGER,"CHOWNOW, ANDOVER, MA",,2.90
