name,restaurant_name,identifier,calories,price_usd
WINGS (4) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
FRIED CATFISH - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
GRILLED CATFISH - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
KSU DELUXE BURGER - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
SHRIMP (4) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
SHRIMP PO BOY - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.75
PHILLY STEAK - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.75
CHICKEN TENDERS - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.75
THOROUGHBRED BURGER - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,9.00
CATFISH - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,6.00
FISH TACOS (3) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
SHRIMP (5) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.00
SHRIMP PO BOY - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,6.50
KSU DELUXE BURGER - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,5.00
THOROUGHBRED BURGER - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,7.50
PHILLY - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,6.25
WINGS (4) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,5.75
CHICKEN TENDERS - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,6.50
HOT LINK - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,5.00
FRENCH FRIES - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,2.50
FRIED OKRA - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,3.50
HUSH PUPPIES (4) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,2.50
SUPERSLAW - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,2.50
LEMONADE - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,3.00
SWEET TEA - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,3.00
ARNOLD PALMER - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,3.00
FRIED OREOS (4) - REGULAR,UNCLE BOO'S CATFISH CORNER,"CHOWNOW, FRANKFORT, KY",,3.50
