name,restaurant_name,identifier,calories,price_usd
WINE TRECINI SAUVIGNON BLANC 750 ML BOTTLE - 750 ML BOTTLE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,11.99
WINE TRECINI ROSE 750 ML BOTTLE - 750 ML BOTTLE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,11.99
EVERYDAY FAMILY MEAL DEAL (SERVES 2) - SERVES 2,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,25.00
EVERYDAY FAMILY MEAL DEAL (SERVES 4) - SERVES 4,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,49.00
EVERYDAY FAMILY MEAL DEAL (SERVES 6) - SERVES 6,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,69.00
ROTISSERIE CHICKEN - 1/2 CHICKEN,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,18.00
PETITE PIZZAS - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,11.00
BREADSTICKS (3) - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,3.00
FRENCH FRIES - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,5.00
FRENCH FRIES - GARLIC FRIES,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,8.00
GARLIC BREAD | QUARTER LOAF - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,6.00
MEATBALLS (4) - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,6.00
DIPPING SAUCE - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,0.00
TOMATO BRUSCHETTA - REGULAR,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,11.00
WINGS - 5 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,9.00
WINGS - 10 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,14.00
WINGS - 20 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,22.00
BONELESS WINGS - 5 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,9.00
BONELESS WINGS - 10 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,14.00
BONELESS WINGS - 20 PIECE,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,22.00
SOFT DRINK 20 OZ. - 20 OZ. CUP,UNION HOTEL RESTAURANT,"SANTA ROSA, CA",,1.99
