name,restaurant_name,identifier,calories,price_usd
EDAMAME - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,3.50
SWEET POTATO FRIES - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,5.00
VEGAN EGG ROLL (4PCS) - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,5.50
VEGETABLE DUMPLING - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,5.50
FRIED TOFU - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,6.00
SPICY EDAMAME - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,6.50
VEGAN BEEF JERKY - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,8.50
SOY CHICKEN SATAY - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,8.50
GUACAMOLE & CHIPS - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,5.50
FRENCH FRIES - SMALL,VEGAN STUDIO,"STUDIO CITY, CA",,3.50
FRENCH FRIES - LARGE,VEGAN STUDIO,"STUDIO CITY, CA",,6.50
"LENTIL, SOY BEEF OR SOY CHICKEN TACO - REGULAR",VEGAN STUDIO,"STUDIO CITY, CA",,7.25
FRESH ROLL - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,7.50
VEGETABLE SOUP - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,9.00
TOM KAH SOUP - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,9.50
HOT & SOUR VEGETABLE SOUP - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,9.00
TOM YUM SOUP - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,9.50
WONTON SOUP - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,11.00
VEGAN MISO SOUP - SMALL,VEGAN STUDIO,"STUDIO CITY, CA",,3.50
VEGAN MISO SOUP - LARGE,VEGAN STUDIO,"STUDIO CITY, CA",,6.50
SPRING MIXED SALAD - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,7.50
SPICY CHICKEN SALAD - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,10.50
SPICY MINT SALAD - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,11.00
KALE SALAD - SMALL,VEGAN STUDIO,"STUDIO CITY, CA",,6.50
KALE SALAD - LARGE,VEGAN STUDIO,"STUDIO CITY, CA",,10.50
KALE QUINOA SALAD - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,10.00
PAPAYA SALAD - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,10.00
PINEAPPLE FRIED RICE - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,12.00
SPICY FRIED RICE - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,11.00
VEGETABLE FRIED RICE - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,11.00
SUPREME FRIED RICE. - REGULAR,VEGAN STUDIO,"STUDIO CITY, CA",,13.00
