name,restaurant_name,identifier,calories,price_usd
RICE BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,9.95
SALAD BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,9.95
NOODLE BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,10.95
BUILD YOUR OWN PHO BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,9.95
THE HANGOVER CURE - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,11.95
WHAT THE PHO?! - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,11.95
KING PHO BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,13.95
VEGAN NOODLE SALAD - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,10.95
NOMZ-STER BOWL - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,13.95
TACOS | VIET STREET TACOS - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,9.50
BAOS | ASIAN STEAMED BUNS - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,6.95
SPRING ROLLS (2) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.50
VEGGIE SPRING ROLLS (3 PIECES) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,3.95
SUMMER ROLLS (2) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.50
CRISPY TOFU BITES - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.50
FISH BITES (8) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,6.50
TOFU SUMMER ROLLS - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.95
GRILLED CHICKEN SUMMER ROLLS (2) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,5.50
GRILLED PORK SUMMER ROLLS (2) - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,5.50
CUP OF PHO BROTH - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,3.95
SIDE OF WHITE RICE - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,2.25
SIDE OF VERMICELLI NOODLES - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,2.50
ICED CÁ PHÊ - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,3.95
ICED MATCHA CÁ PHÊ - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.75
ICED MATCHA LATTE - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,4.95
SODA CAN - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,1.50
WATER BOTTLE - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,1.50
ARIZONA GREEN TEA - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,2.25
HOT TEA - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,2.50
ICED MATCHA LEMONADE - REGULAR,VIET-NOMZ WINTER PARK,"WINTER PARK, FL",,3.95
