name,restaurant_name,identifier,calories,price_usd
BURGER / SHAKE DEAL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,15.00
SEITAN PHILLY CHEESE STEAK - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
SLOPPY JACK (SOY FREE) - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
MIDTOWN MELT - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
BEET BURGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
UN-CHICKEN AVOCADO GRILLER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
SPICY BUFFALO BUN - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
QUINOA BURGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
THE SKYSCRAPER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.50
CREATE YOUR OWN BOWL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.75
BURGER BOWL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,13.00
BREAKFAST BOWL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.75
PROTEIN BOWL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.75
SPICY GREEN BOWL - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,12.50
BURRITO GRANDE - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.25
SMOKY AVOCADO WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.00
KARMIC KALE WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.25
UN-CHICKEN GRILLER WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.00
SEA SALT & VINEGAR KETTLE CHIPS - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.00
SEA SALT KETTLE CHIPS - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.00
WILD RICE WORKS CRISPS - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.25
CHICKPEA QUINOA SALAD - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.25
POWER UP! KALE SALAD - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.25
TINY KARMIC KALE - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,5.95
SOUP OF THE DAY - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,5.50
BUFFALO CAULIFLOWER BITES - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,5.95
ONION RINGS - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,4.25
MAC N CHEESE - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,6.95
ORGANIC COLA - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.25
ORGANIC GINGER ALE - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.25
WATER BOTTLE - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,1.50
ORGANIC SELTZER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.25
CHAMELEON COLD BREW - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,0.00
INVO COCONUT WATER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,5.50
BLUE SKY - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,0.00
SPINDRIFT SELTZER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,2.25
JUICES (SUJA) - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,0.00
BREAKFAST SCRAMBLE WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,9.00
BENEDICT WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,7.50
"EGG, CHEESE & BACON MUFFIN - REGULAR",VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,6.50
BLOSSOM BUTTERFINGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,8.00
COOKIE DOUGH - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,8.00
GLUTEN-FREE KARMIC KALE WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.00
GLUTEN-FREE BREAKFAST SCRAMBLE WRAP - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,10.75
GLUTEN-FREE BEET BURGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.50
GLUTEN-FREE BEET BURGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.50
GLUTEN-FREE QUINOA BURGER - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,11.50
GREEN GIANT - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,8.00
BLUE VELVET - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,8.00
SOUP DU JOUR - REGULAR,VINASON PHO & GRILL,"CHOWNOW, KENT, WA",,5.50
