name,restaurant_name,identifier,calories,price_usd
SMALL 10 INCH  CREATE YOUR PIZZA - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,9.95
MEDIUM 14 INCH  CREATE YOUR PIZZA - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,14.95
LARGE 18 INCH  CREATE YOUR PIZZA - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,19.95
CLEOPATRA JONES | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MR. PINK | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE 11 | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE CBGB | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE DUDE | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE BIRD | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE DIVINE | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MEAT THE METS | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE SLAYER | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE BAYOU BEAST | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,13.95
SUPER NEWMAN | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,13.95
THE NEWMAN | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MEL COOLEY | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
NIGHT TRIPPER | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
THE MEG | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
TONY CLIFTON | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
ANIMAL COLLECTIVE | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
THE BUCKMINSTER | SMALL - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,11.95
CLEOPATRA JONES | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
MR. PINK | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE 11 | MEDIUM - MEDIUM,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE CBGB | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE DUDE | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE BIRD | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE DIVINE | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
MEAT THE METS | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE SLAYER | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
THE BAYOU BEAST | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,21.95
SUPER NEWMAN | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,21.95
THE NEWMAN | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,20.95
MEL COOLEY | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
NIGHT TRIPPER | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
THE MEG | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
TONY CLIFTON | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
ANIMAL COLLECTIVE | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
LARRY TATE | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
THE BUCKMINSTER | MEDIUM - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,18.95
CLEOPATRA JONES | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
MR. PINK | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE 11 | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE CBGB | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE DUDE | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE BIRD | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
COUNT SLIMA | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE DIVINE | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
MEAT THE METS | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE SLAYER | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
THE BAYOU BEAST | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,29.95
SUPER NEWMAN | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,29.95
THE NEWMAN | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,28.95
MEL COOLEY | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
NIGHT TRIPPER | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
THE MEG | 18 INCH  LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
TONY CLIFTON | 18 INCH  LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
ANIMAL COLLECTIVE | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
LARRY TATE | LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
THE BUCKMINSTER | 18 INCH  LARGE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,26.95
CLASSIC CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,7.95
VEGAN CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,9.95
THE BIRD CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE CBGB CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
CLEOPATRA JONES CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
COUNT SLIMA CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE DIVINE CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE DUDE CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE 11 CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MEAT THE METS CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MR. PINK CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE SLAYER CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE BAYOU BEAST CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
SUPER NEWMAN CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE NEWMAN CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
ANIMAL COLLECTIVE CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE MEG CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
MEL COOLEY CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
NIGHT TRIPPER CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
TONY CLIFTON CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE BUCKMINSTER CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
LARRY TATE CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
BLUE CHEESE DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
MARINARA SAUCE DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
BASIL PESTO DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
JALAPEÑO PESTO DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
SWEET RED PEPPER PESTO DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
CAJUN RANCH DIPPER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,0.50
BOTTLED WATER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,1.75
CANNED SODA - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,1.50
BOYLAN'S SODA - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,3.00
SAN PELLEGRINO SPARKLING WATER - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,3.00
HOUSE-MADE COLESLAW - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,2.50
"MEATBALL, CHICKEN, OR EGGPLANT PARM SLIDERS (3) - REGULAR",VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,6.75
GARLIC KNOTS (3) - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,2.95
"MEATBALL, CHICKEN, OR EGGPLANT PARM PO' BOYS - REGULAR",VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,8.95
EARTH MOTHER CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
SUPER VEGAN CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
VEGAN NIGHT TRIPPER CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
V FOR VEGAN CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
THE VEGAN IN FURS - ECHO PARK HOME PIE CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
VEGAN MEL COOLEY CALZONE - REGULAR,VINNY'S NEW YORK PIZZA,"CHOWNOW, DULUTH, GA",,12.95
